#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p5mm_SINGLE_LAYER"
0.1263649990 0.9143999820 0.0319770938
0.1228704490 0.9143999820 0.0320900519
0.1195418940 0.9143999820 0.0321839829
0.1163715070 0.9143999820 0.0322607173
0.1133518220 0.9143999820 0.0323216815
0.1104757300 0.9143999820 0.0323687235
0.1077364410 0.9143999820 0.0324028334
0.1051274910 0.9143999820 0.0324255796
0.1026427150 0.9143999820 0.0324380817
0.1002762330 0.9143999820 0.0324414526
0.0980224431 0.9143999820 0.0324367663
0.0958760055 0.9143999820 0.0324247776
0.0938318299 0.9143999820 0.0324064272
0.0918850631 0.9143999820 0.0323826148
0.0900310829 0.9143999820 0.0323539030
0.0881115663 0.9143999820 0.0323178403
0.0861921843 0.9143999820 0.0322752103
0.0842729665 0.9143999820 0.0322257436
0.0823539349 0.9143999820 0.0321695156
0.0804351281 0.9143999820 0.0321060731
0.0785165779 0.9143999820 0.0320352929
0.0765983211 0.9143999820 0.0319569659
0.0746803982 0.9143999820 0.0318708476
0.0727628499 0.9143999820 0.0317767562
0.0708457218 0.9143999820 0.0316744620
0.0689290706 0.9143999820 0.0315635896
0.0670129471 0.9143999820 0.0314439432
0.0650974177 0.9143999820 0.0313151336
0.0631825398 0.9143999820 0.0311769771
0.0612683891 0.9143999820 0.0310290867
0.0593550487 0.9143999820 0.0308710586
0.0574426078 0.9143999820 0.0307024925
0.0555311647 0.9143999820 0.0305229661
0.0536208251 0.9143999820 0.0303320543
0.0517117008 0.9143999820 0.0301293504
0.049803932 0.914399982 0.029914260
0.047897676 0.914399982 0.029686155
0.045993097 0.914399982 0.029444448
0.044090396 0.914399982 0.029188374
0.042189758 0.914399982 0.028917416
0.040291443 0.914399982 0.028630633
0.038395746 0.914399982 0.028327023
0.036502993 0.914399982 0.028005572
0.034613540 0.914399982 0.027665264
0.032727792 0.914399982 0.027304986
0.030846311 0.914399982 0.026923051
0.028969711 0.914399982 0.026517818
0.027098677 0.914399982 0.026087611
0.025234006 0.914399982 0.025630616
0.023376849 0.914399982 0.025143983
0.021528514 0.914399982 0.024624848
0.019690502 0.914399982 0.024070270
0.017864777 0.914399982 0.023476494
0.016054128 0.914399982 0.022838221
0.014261831 0.914399982 0.022150096
0.012492071 0.914399982 0.021405923
0.010856203 0.914399982 0.021938305
0.009389496 0.914399982 0.023231568
0.007471337 0.914399982 0.025233669
0.004107144 0.914399982 0.026271919
0.000292835 0.914399981 0.025533363
-0.002651808 0.914399981 0.024012684
-0.004836206 0.914399981 0.022494941
-0.006510466 0.914399981 0.020951428
-0.007841831 0.914399982 0.019299174
-0.008873728 0.914399981 0.017515838
-0.009634332 0.914399981 0.015508307
-0.010329287 0.914399982 0.013090513
-0.010645378 0.914399981 0.010057938
-0.010396503 0.914399982 0.006714663
-0.009469006 0.914399982 0.003706323
