#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm.
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999"
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"

VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_VAR_SINGLE_LAYER"
0.02883 0.91440 0.02649
0.02509 0.91440 0.02559
0.02509 0.91440 0.02559
0.02138 0.91440 0.02458
0.02138 0.91440 0.02458
0.01771 0.91440 0.02342
0.01771 0.91440 0.02342
0.01410 0.91440 0.02208
0.01410 0.91440 0.02208
0.01059 0.91440 0.02051
0.01059 0.91440 0.02051
0.00662 0.91440 0.01962
0.00662 0.91440 0.01962
0.00186 0.91440 0.02016
0.00186 0.91440 0.02016
-0.00409 0.91440 0.02104
-0.00410 0.91440 0.02104
-0.01108 0.91440 0.02064
-0.01108 0.91440 0.02064
-0.01264 0.91440 0.01549
-0.01264 0.91440 0.01549
-0.01153 0.91440 0.01013
-0.01153 0.91440 0.01013
-0.00828 0.91440 0.00599
-0.00828 0.91440 0.00599
-0.00828 0.91440 0.00599
-0.00541 0.91440 0.00294
-0.00333 0.91440 0.00004
-0.00333 0.91440 0.00004
-0.00110 0.91440 -0.00288
-0.00110 0.91440 -0.00288
0.00173 0.91440 -0.00584
0.00173 0.91440 -0.00584
0.00526 0.91440 -0.00872
0.00526 0.91440 -0.00872
0.00884 0.91440 -0.01128
0.00884 0.91440 -0.01128
0.01237 0.91440 -0.01374
0.01237 0.91440 -0.01374
0.01237 0.91440 -0.01374
0.01598 0.91440 -0.01593
0.01973 0.91440 -0.01770
0.01973 0.91440 -0.01770
0.02355 0.91440 -0.01920
0.02355 0.91440 -0.01920
0.02355 0.91440 -0.01920
0.02737 0.91440 -0.02054
0.03122 0.91440 -0.02173
0.03122 0.91440 -0.02173
0.03512 0.91440 -0.02270
0.03512 0.91440 -0.02270
0.03904 0.91440 -0.02362
0.03904 0.91440 -0.02362
0.03904 0.91440 -0.02362
0.04320 0.91440 -0.02346
0.04784 0.91440 -0.02120
0.04784 0.91440 -0.02120
0.05198 0.91440 -0.02068
0.05198 0.91440 -0.02068
0.05585 0.91440 -0.02121
0.05585 0.91440 -0.02121
0.05971 0.91440 -0.02169
0.05971 0.91440 -0.02169
0.06357 0.91440 -0.02217
0.06357 0.91440 -0.02217
0.06357 0.91440 -0.02217
0.06740 0.91440 -0.02274
0.06740 0.91440 -0.02274
0.07120 0.91440 -0.02347
0.07120 0.91440 -0.02347
0.07500 0.91440 -0.02417
0.07881 0.91440 -0.02483
0.07881 0.91440 -0.02483
0.08262 0.91440 -0.02547
0.08262 0.91440 -0.02547
0.08644 0.91440 -0.02609
0.08644 0.91440 -0.02609
0.09021 0.91440 -0.02667
0.09021 0.91440 -0.02667
0.09416 0.91440 -0.02725
0.09416 0.91440 -0.02725
0.09416 0.91440 -0.02725
0.09832 0.91440 -0.02783
0.09832 0.91440 -0.02783
0.10270 0.91440 -0.02842
