TITLE = "TC_NACA0012_3932_L2_finalIceShape_V1 | NACA0012 coordinates rotated +4 degrees about X=0.13335 m"
AUXDATA NUM_LAYERS = "insert the number of total ice layers"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_VAR_SINGLE_LAYER"
0.533397930084 0.9144 0.000667559071678
0.533225553937 0.9144 0.000695603033152
0.533043202149 0.9144 0.000722949429888
0.532759698827 0.9144 0.000763271460255
0.532476195504 0.9144 0.000803593490622
0.532011037958 0.9144 0.000861286277224
0.531555158488 0.9144 0.000929652269065
0.530826448901 0.9144 0.00102906221551
0.530097041749 0.9144 0.00113844780245
0.528923125897 0.9144 0.00129694566497
0.527749210045 0.9144 0.00145544352749
0.525876511527 0.9144 0.00171544403067
0.52400381301 0.9144 0.00197544453384
0.522131114492 0.9144 0.00223544503702
0.520249137898 0.9144 0.00248477233495
0.518376439381 0.9144 0.00274477283813
0.516504438428 0.9144 0.0029947977008
0.514621764269 0.9144 0.00325410063923
0.512749763316 0.9144 0.00350412550191
0.510867786723 0.9144 0.00375345279984
0.50899578577 0.9144 0.00400347766251
0.507113809176 0.9144 0.00425280496045
0.505241808223 0.9144 0.00450282982312
0.503360529195 0.9144 0.00474218148055
0.501478552601 0.9144 0.00499150877849
0.499607249213 0.9144 0.00523155800066
0.497725272619 0.9144 0.00548088529859
0.495853969231 0.9144 0.00572093452076
0.493972690202 0.9144 0.00596028617819
0.492091411173 0.9144 0.00619963783563
0.490210132145 0.9144 0.00643898949306
0.488338828756 0.9144 0.00667903871523
0.486457549728 0.9144 0.00691839037266
0.484576270699 0.9144 0.00715774203009
0.48269499167 0.9144 0.00739709368752
0.480824385847 0.9144 0.00762716726919
0.478943804383 0.9144 0.00785654328612
0.477062525354 0.9144 0.00809589494355
0.47518194389 0.9144 0.00832527096048
0.473301362426 0.9144 0.00855464697741
0.471420780962 0.9144 0.00878402299434
0.469540199498 0.9144 0.00901339901127
0.467659618034 0.9144 0.0092427750282
0.46578901221 0.9144 0.00947284860987
0.463908430746 0.9144 0.00970222462679
0.462028546847 0.9144 0.00992162500322
0.460147965383 0.9144 0.0101510010202
0.458268081483 0.9144 0.0103704013966
0.456387500019 0.9144 0.0105997774135
0.45449764048 0.9144 0.0108184802252
0.45261775658 0.9144 0.0110378806016
0.450737872681 0.9144 0.0112572809781
0.448857988782 0.9144 0.0114766813545
0.446978104882 0.9144 0.0116960817309
0.445098220983 0.9144 0.0119154821073
0.443218337084 0.9144 0.0121348824838
0.441339150749 0.9144 0.0123443072197
0.439449291209 0.9144 0.0125630100314
0.437570104875 0.9144 0.0127724347673
0.435690220976 0.9144 0.0129918351437
0.433811034641 0.9144 0.0132012598796
0.431931848307 0.9144 0.0134106846156
0.430042686331 0.9144 0.0136194117868
0.428163499997 0.9144 0.0138288365227
0.426284313662 0.9144 0.0140382612586
0.424395151687 0.9144 0.0142469884298
0.422515965353 0.9144 0.0144564131657
0.420637476583 0.9144 0.0146558622611
0.418748314608 0.9144 0.0148645894323
0.416869128273 0.9144 0.0150740141683
0.414990639503 0.9144 0.0152734632637
0.413102175093 0.9144 0.0154722147944
0.411222988759 0.9144 0.0156816395303
0.409334524348 0.9144 0.015880391061
0.407456035578 0.9144 0.0160798401564
0.405567571168 0.9144 0.0162785916871
0.403689082398 0.9144 0.0164780407825
0.401800617988 0.9144 0.0166767923132
0.399922826783 0.9144 0.0168662657681
0.398034362373 0.9144 0.0170650172988
0.396155873603 0.9144 0.0172644663942
0.394268106757 0.9144 0.0174532422844
0.392390315552 0.9144 0.0176427157393
0.390501851142 0.9144 0.01784146727
0.388624059937 0.9144 0.0180309407249
0.386736293091 0.9144 0.0182197166151
0.384848526246 0.9144 0.0184084925053
0.38297073504 0.9144 0.0185979659602
0.381082968195 0.9144 0.0187867418504
0.379195201349 0.9144 0.0189755177406
0.377318107709 0.9144 0.019155015555
0.375430340863 0.9144 0.0193437914451
0.373543271583 0.9144 0.0195225916948
0.371655504737 0.9144 0.019711367585
0.369778411097 0.9144 0.0198908653994
0.367891341816 0.9144 0.0200696656491
0.366004272535 0.9144 0.0202484658988
0.364117203254 0.9144 0.0204272661485
0.362230133973 0.9144 0.0206060663981
0.360353040333 0.9144 0.0207855642126
0.358465971052 0.9144 0.0209643644622
0.356578901771 0.9144 0.0211431647119
0.354692530055 0.9144 0.0213119893211
0.352805460774 0.9144 0.0214907895708
0.350919089058 0.9144 0.0216596141799
0.349032717342 0.9144 0.0218284387891
0.347145648061 0.9144 0.0220072390388
0.345259276345 0.9144 0.022176063648
0.343372904629 0.9144 0.0223448882572
0.341487230478 0.9144 0.0225037372258
0.339600858761 0.9144 0.022672561835
0.337714487045 0.9144 0.0228413864442
0.335828812894 0.9144 0.0230002354129
