VARIABLES = "CoordinateX" "CoordinateY" "CoordinateZ"
ZONE T="SLICE_Y_0p9144"
0.45269826 0.91440 0.01103349
0.45525558 0.91440 0.01073114
0.45782288 0.91440 0.01042949
0.46038089 0.91440 0.01011717
0.46293821 0.91440 0.00981482
0.46549623 0.91440 0.00950250
0.46806353 0.91440 0.00920085
0.47062154 0.91440 0.00888853
0.47317956 0.91440 0.00857620
0.47573828 0.91440 0.00825390
0.47829630 0.91440 0.00794158
0.48085501 0.91440 0.00761928
0.48341303 0.91440 0.00730696
0.48597174 0.91440 0.00698466
0.48853046 0.91440 0.00666237
0.49108987 0.91440 0.00633009
0.49363861 0.91440 0.00600710
0.49619802 0.91440 0.00567482
0.49875744 0.91440 0.00534255
0.50131685 0.91440 0.00501027
0.50386629 0.91440 0.00467730
0.50642570 0.91440 0.00434503
0.50898581 0.91440 0.00400278
0.51153594 0.91440 0.00365983
0.51409606 0.91440 0.00331758
0.51664619 0.91440 0.00297464
0.51920630 0.91440 0.00263239
0.52175713 0.91440 0.00227946
0.52430727 0.91440 0.00193652
0.52686808 0.91440 0.00158429
0.52941891 0.91440 0.00123137
0.53106935 0.91440 0.00099593
0.53210152 0.91440 0.00085759
0.53274972 0.91440 0.00076257
0.53314435 0.91440 0.00070997
0.53339793 0.91440 0.00066756
0.00003488 0.91440 0.00072217
0.00012431 0.91440 0.00145018
0.00028427 0.91440 0.00217310
0.00051406 0.91440 0.00290090
0.00079513 0.91440 0.00361224
0.00116458 0.91440 0.00434981
0.00160455 0.91440 0.00508228
0.00211366 0.91440 0.00582962
0.00272322 0.91440 0.00657395
0.00340192 0.91440 0.00733314
0.00419035 0.91440 0.00810001
0.00509708 0.91440 0.00889520
0.00610428 0.91440 0.00968739
0.00722120 0.91440 0.01048725
0.00841933 0.91440 0.01127274
0.00965017 0.91440 0.01202042
0.01091443 0.91440 0.01272031
0.01219145 0.91440 0.01338100
0.01348054 0.91440 0.01401246
0.01479168 0.91440 0.01461539
0.01610421 0.91440 0.01519837
0.01743948 0.91440 0.01574284
0.01877615 0.91440 0.01626736
0.02012349 0.91440 0.01678260
0.02147292 0.91440 0.01726791
0.02283373 0.91440 0.01773397
0.02420521 0.91440 0.01819076
0.02556810 0.91440 0.01862689
0.02695235 0.91440 0.01904447
0.02832731 0.91440 0.01945137
0.02971295 0.91440 0.01984900
0.03109998 0.91440 0.02022667
0.03248771 0.91440 0.02059437
0.03388612 0.91440 0.02095279
0.03528522 0.91440 0.02130124
0.03668502 0.91440 0.02163971
0.03808552 0.91440 0.02196820
0.03948671 0.91440 0.02228672
0.04088860 0.91440 0.02259526
0.04230117 0.91440 0.02289452
0.04370376 0.91440 0.02319309
0.04511772 0.91440 0.02347240
0.04653168 0.91440 0.02375172
0.04794634 0.91440 0.02402106
0.04936169 0.91440 0.02428042
0.05077775 0.91440 0.02452980
0.05219380 0.91440 0.02477919
0.05361055 0.91440 0.02501860
0.05502730 0.91440 0.02525801
0.05645472 0.91440 0.02548814
0.05787287 0.91440 0.02570760
0.05930099 0.91440 0.02592776
0.06071983 0.91440 0.02613724
0.06213868 0.91440 0.02634673
0.06356819 0.91440 0.02654693
0.06499841 0.91440 0.02673716
0.06641795 0.91440 0.02693667
0.06784886 0.91440 0.02711693
0.06927977 0.91440 0.02729718
0.07070071 0.91440 0.02747674
0.07213232 0.91440 0.02764702
0.07356393 0.91440 0.02781730
0.07499623 0.91440 0.02797760
0.07641857 0.91440 0.02813720
0.07785157 0.91440 0.02828753
0.07928457 0.91440 0.02843786
0.08071828 0.91440 0.02857821
0.08215128 0.91440 0.02872854
0.08357570 0.91440 0.02885822
0.08500941 0.91440 0.02899857
0.08644381 0.91440 0.02912895
0.08981608 0.91440 -0.02941843
0.08837422 0.91440 -0.02929872
0.09132847 0.91440 -0.02954324
0.09292136 0.91440 -0.02967244
0.09458408 0.91440 -0.02979676
0.09633798 0.91440 -0.02993475
0.09818166 0.91440 -0.03006646
0.10011512 0.91440 -0.03019189
0.10214973 0.91440 -0.03033030
0.10427412 0.91440 -0.03046244
0.10651892 0.91440 -0.03059617
0.10887345 0.91440 -0.03072224
0.11133911 0.91440 -0.03086058
0.11393445 0.91440 -0.03098985
0.11650914 0.91440 -0.03111054
0.11907316 0.91440 -0.03122196
0.12164645 0.91440 -0.03132270
0.12421905 0.91440 -0.03141346
0.12679165 0.91440 -0.03150423
0.12936355 0.91440 -0.03158502
0.13194473 0.91440 -0.03165514
0.13451523 0.91440 -0.03171598
0.13708574 0.91440 -0.03177681
0.13966552 0.91440 -0.03182698
0.14223533 0.91440 -0.03187784
0.14480374 0.91440 -0.03190876
0.14738283 0.91440 -0.03194895
0.14996052 0.91440 -0.03196918
0.15252824 0.91440 -0.03199012
0.15510523 0.91440 -0.03200038
0.15768222 0.91440 -0.03201065
0.16025852 0.91440 -0.03201093
0.16282484 0.91440 -0.03201192
0.16540044 0.91440 -0.03200223
0.16797534 0.91440 -0.03198257
0.17055024 0.91440 -0.03196290
0.17312514 0.91440 -0.03194324
0.17569934 0.91440 -0.03191360
0.17827285 0.91440 -0.03187398
0.18084635 0.91440 -0.03183437
0.18341986 0.91440 -0.03179475
0.18599267 0.91440 -0.03174516
0.18856478 0.91440 -0.03168560
0.19113758 0.91440 -0.03163601
0.19371897 0.91440 -0.03156577
0.19629108 0.91440 -0.03150620
0.19886180 0.91440 -0.03142668
0.20143321 0.91440 -0.03135714
0.20400393 0.91440 -0.03127762
0.20658392 0.91440 -0.03118743
0.20915463 0.91440 -0.03110791
0.21172465 0.91440 -0.03101842
