VARIABLES = "CoordinateX" "CoordinateY" "CoordinateZ"
ZONE T="SLICE_Y_0p1"
 3.381423964E-01 1.000000000E-01 -4.608621595E-02
 3.235304478E-01 1.000000000E-01 -4.566082000E-02
 3.094259730E-01 1.000000000E-01 -4.518796254E-02
 2.958413070E-01 1.000000000E-01 -4.467424290E-02
 2.827848162E-01 1.000000000E-01 -4.412566689E-02
 2.702611250E-01 1.000000000E-01 -4.354725400E-02
 2.582713794E-01 1.000000000E-01 -4.294360916E-02
 2.468135377E-01 1.000000000E-01 -4.231844734E-02
 2.358826791E-01 1.000000000E-01 -4.167532271E-02
 2.254713207E-01 1.000000000E-01 -4.101728401E-02
 2.155697370E-01 1.000000000E-01 -4.034721923E-02
 2.061662738E-01 1.000000000E-01 -3.966797106E-02
 1.972476521E-01 1.000000000E-01 -3.898186656E-02
 1.887992572E-01 1.000000000E-01 -3.829143809E-02
 1.808054090E-01 1.000000000E-01 -3.759919307E-02
 1.732496132E-01 1.000000000E-01 -3.690736925E-02
 1.661147894E-01 1.000000000E-01 -3.621831188E-02
 1.593834773E-01 1.000000000E-01 -3.553420853E-02
 1.530380199E-01 1.000000000E-01 -3.485699963E-02
 1.470607249E-01 1.000000000E-01 -3.418863196E-02
 1.414340039E-01 1.000000000E-01 -3.353095960E-02
 1.361404917E-01 1.000000000E-01 -3.288569843E-02
 1.311631469E-01 1.000000000E-01 -3.225440054E-02
 1.264853348E-01 1.000000000E-01 -3.163813322E-02
 1.220908943E-01 1.000000000E-01 -3.103768855E-02
 1.179641907E-01 1.000000000E-01 -3.045391936E-02
 1.140901553E-01 1.000000000E-01 -2.988832466E-02
 1.104543152E-01 1.000000000E-01 -2.934235594E-02
 1.070428110E-01 1.000000000E-01 -2.881649554E-02
 1.038424085E-01 1.000000000E-01 -2.830818614E-02
 1.008405013E-01 1.000000000E-01 -2.781473479E-02
 9.802510863E-02 1.000000000E-01 -2.733329154E-02
 9.538486737E-02 1.000000000E-01 -2.685723352E-02
 9.290902031E-02 1.000000000E-01 -2.638115516E-02
 9.058740099E-02 1.000000000E-01 -2.590134204E-02
 8.841041598E-02 1.000000000E-01 -2.541355143E-02
 8.636902515E-02 1.000000000E-01 -2.491524861E-02
 8.445472048E-02 1.000000000E-01 -2.440534314E-02
 8.265950397E-02 1.000000000E-01 -2.388278008E-02
 8.097586482E-02 1.000000000E-01 -2.334767270E-02
 7.939675646E-02 1.000000000E-01 -2.280090012E-02
 7.791557351E-02 1.000000000E-01 -2.224298912E-02
 7.652612901E-02 1.000000000E-01 -2.167515152E-02
 7.522263196E-02 1.000000000E-01 -2.109902832E-02
 7.399966555E-02 1.000000000E-01 -2.051577821E-02
 7.285216590E-02 1.000000000E-01 -1.992695497E-02
 7.177540165E-02 1.000000000E-01 -1.933441377E-02
 7.076495428E-02 1.000000000E-01 -1.873968191E-02
 6.981669933E-02 1.000000000E-01 -1.814447606E-02
 6.892678844E-02 1.000000000E-01 -1.755046024E-02
 6.809163230E-02 1.000000000E-01 -1.695817635E-02
 6.730788450E-02 1.000000000E-01 -1.636832587E-02
 6.657242618E-02 1.000000000E-01 -1.578196179E-02
 6.588235163E-02 1.000000000E-01 -1.519988716E-02
 6.523495470E-02 1.000000000E-01 -1.462311101E-02
 6.462771597E-02 1.000000000E-01 -1.405266519E-02
 6.405829077E-02 1.000000000E-01 -1.348853742E-02
 6.352449795E-02 1.000000000E-01 -1.293092439E-02
 6.302430934E-02 1.000000000E-01 -1.238026629E-02
 6.255583992E-02 1.000000000E-01 -1.183620767E-02
 6.211733865E-02 1.000000000E-01 -1.129882762E-02
 6.170717992E-02 1.000000000E-01 -1.076843041E-02
 6.132385561E-02 1.000000000E-01 -1.024463617E-02
 6.096596769E-02 1.000000000E-01 -9.727707525E-03
 6.063222135E-02 1.000000000E-01 -9.217761596E-03
 6.032141866E-02 1.000000000E-01 -8.714258776E-03
 6.003245270E-02 1.000000000E-01 -8.217528760E-03
 5.976430208E-02 1.000000000E-01 -7.726442814E-03
 5.951602598E-02 1.000000000E-01 -7.239635665E-03
 5.928675950E-02 1.000000000E-01 -6.757533530E-03
 5.907570945E-02 1.000000000E-01 -6.281494854E-03
 5.888215047E-02 1.000000000E-01 -5.813680598E-03
 5.870542147E-02 1.000000000E-01 -5.350020599E-03
 5.854492240E-02 1.000000000E-01 -4.884360601E-03
 5.840011137E-02 1.000000000E-01 -4.420901154E-03
 5.827050198E-02 1.000000000E-01 -3.974931357E-03
 5.815566097E-02 1.000000000E-01 -3.545324098E-03
 5.805520610E-02 1.000000000E-01 -3.084518561E-03
 5.796880436E-02 1.000000000E-01 -2.594910437E-03
 5.789617028E-02 1.000000000E-01 -2.186026488E-03
 5.783706462E-02 1.000000000E-01 -1.825911312E-03
 5.779129318E-02 1.000000000E-01 -1.250510325E-03
 5.775870589E-02 1.000000000E-01 -5.968834075E-04
 5.773919604E-02 1.000000000E-01 -1.515039687E-04
 5.773269984E-02 1.000000000E-01 0.000000000E+00
 5.773919604E-02 1.000000000E-01 1.515039687E-04
 5.775870589E-02 1.000000000E-01 5.968834075E-04
 5.779129318E-02 1.000000000E-01 1.250510325E-03
 5.783706462E-02 1.000000000E-01 1.825911312E-03
 5.789617028E-02 1.000000000E-01 2.186026488E-03
 5.796880436E-02 1.000000000E-01 2.594910437E-03
 5.805520610E-02 1.000000000E-01 3.084518561E-03
 5.815566097E-02 1.000000000E-01 3.545324098E-03
 5.827050198E-02 1.000000000E-01 3.974931357E-03
 5.840011137E-02 1.000000000E-01 4.420901154E-03
 5.854492240E-02 1.000000000E-01 4.884360601E-03
 5.870542147E-02 1.000000000E-01 5.350020599E-03
 5.888215047E-02 1.000000000E-01 5.813680598E-03
 5.907570945E-02 1.000000000E-01 6.281494854E-03
 5.928675950E-02 1.000000000E-01 6.757533530E-03
 5.951602598E-02 1.000000000E-01 7.239635665E-03
 5.976430208E-02 1.000000000E-01 7.726442814E-03
 6.003245270E-02 1.000000000E-01 8.217528760E-03
 6.032141866E-02 1.000000000E-01 8.714258776E-03
 6.063222135E-02 1.000000000E-01 9.217761596E-03
 6.096596769E-02 1.000000000E-01 9.727707525E-03
 6.132385561E-02 1.000000000E-01 1.024463617E-02
 6.170717992E-02 1.000000000E-01 1.076843041E-02
 6.211733865E-02 1.000000000E-01 1.129882762E-02
 6.255583992E-02 1.000000000E-01 1.183620767E-02
 6.302430934E-02 1.000000000E-01 1.238026629E-02
 6.352449795E-02 1.000000000E-01 1.293092439E-02
 6.405829077E-02 1.000000000E-01 1.348853742E-02
 6.462771597E-02 1.000000000E-01 1.405266519E-02
 6.523495470E-02 1.000000000E-01 1.462311101E-02
 6.588235163E-02 1.000000000E-01 1.519988716E-02
 6.657242618E-02 1.000000000E-01 1.578196179E-02
 6.730788450E-02 1.000000000E-01 1.636832587E-02
 6.809163230E-02 1.000000000E-01 1.695817635E-02
 6.892678844E-02 1.000000000E-01 1.755046024E-02
 6.981669933E-02 1.000000000E-01 1.814447606E-02
 7.076495428E-02 1.000000000E-01 1.873968191E-02
 7.177540165E-02 1.000000000E-01 1.933441377E-02
 7.285216590E-02 1.000000000E-01 1.992695497E-02
 7.399966555E-02 1.000000000E-01 2.051577821E-02
 7.522263196E-02 1.000000000E-01 2.109902832E-02
 7.652612901E-02 1.000000000E-01 2.167515152E-02
 7.791557351E-02 1.000000000E-01 2.224298912E-02
 7.939675646E-02 1.000000000E-01 2.280090012E-02
 8.097586482E-02 1.000000000E-01 2.334767270E-02
 8.265950397E-02 1.000000000E-01 2.388278008E-02
 8.445472048E-02 1.000000000E-01 2.440534314E-02
 8.636902515E-02 1.000000000E-01 2.491524861E-02
 8.841041598E-02 1.000000000E-01 2.541355143E-02
 9.058740099E-02 1.000000000E-01 2.590134204E-02
 9.290902031E-02 1.000000000E-01 2.638115516E-02
 9.538486737E-02 1.000000000E-01 2.685723352E-02
 9.802510863E-02 1.000000000E-01 2.733329154E-02
 1.008405013E-01 1.000000000E-01 2.781473479E-02
 1.038424085E-01 1.000000000E-01 2.830818614E-02
 1.070428110E-01 1.000000000E-01 2.881649554E-02
 1.104543152E-01 1.000000000E-01 2.934235594E-02
 1.140901553E-01 1.000000000E-01 2.988832466E-02
 1.179641907E-01 1.000000000E-01 3.045391936E-02
 1.220908943E-01 1.000000000E-01 3.103768855E-02
 1.264853348E-01 1.000000000E-01 3.163813322E-02
 1.311631469E-01 1.000000000E-01 3.225440054E-02
 1.361404917E-01 1.000000000E-01 3.288569843E-02
 1.414340039E-01 1.000000000E-01 3.353095960E-02
 1.470607249E-01 1.000000000E-01 3.418863196E-02
 1.530380199E-01 1.000000000E-01 3.485699963E-02
 1.593834773E-01 1.000000000E-01 3.553420853E-02
 1.661147894E-01 1.000000000E-01 3.621831188E-02
 1.732496132E-01 1.000000000E-01 3.690736925E-02
 1.808054090E-01 1.000000000E-01 3.759919307E-02
 1.887992572E-01 1.000000000E-01 3.829143809E-02
 1.972476521E-01 1.000000000E-01 3.898186656E-02
 2.061662738E-01 1.000000000E-01 3.966797106E-02
 2.155697370E-01 1.000000000E-01 4.034721923E-02
 2.254713207E-01 1.000000000E-01 4.101728401E-02
 2.358826791E-01 1.000000000E-01 4.167532271E-02
 2.468135377E-01 1.000000000E-01 4.231844734E-02
 2.582713794E-01 1.000000000E-01 4.294360916E-02
 2.702611250E-01 1.000000000E-01 4.354725400E-02
 2.827848162E-01 1.000000000E-01 4.412566689E-02
 2.958413070E-01 1.000000000E-01 4.467424290E-02
 3.094259730E-01 1.000000000E-01 4.518796254E-02
 3.235304478E-01 1.000000000E-01 4.566082000E-02
