TITLE = "002_NACA0012_AE3932_01 | NACA0012 coordinates rotated +4 degrees about X=0.13335 m"
AUXDATA NUM_LAYERS = "1"
AUXDATA DATA_TYPE = "SLICE"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
-999 -999 -999

ZONE T="SLICE_Y_0p9144_BINS03_KS_1mm_SINGLE_LAYER"
0.532468098176 0.9144 -0.000800879766643
0.531555222203 0.9144 -0.000934885206005
0.530095778696 0.9144 -0.00113718362744
0.527752688574 0.9144 -0.00146141915351
0.524009311223 0.9144 -0.00197379207209
0.520275909512 0.9144 -0.00248546742594
0.516542507801 0.9144 -0.00299714277978
0.512808408526 0.9144 -0.00349884249312
0.509073611686 0.9144 -0.00399056656596
0.505338814846 0.9144 -0.00448229063879
0.501604018006 0.9144 -0.00497401471163
0.497869221166 0.9144 -0.00546573878447
0.494133726761 0.9144 -0.0059474872168
0.490387559151 0.9144 -0.00641995757337
0.486651367182 0.9144 -0.00689173036521
0.482915175212 0.9144 -0.00736350315704
0.479178983243 0.9144 -0.00783527594887
0.475442093709 0.9144 -0.0082970731002
0.47170450661 0.9144 -0.00874889461103
0.467957641435 0.9144 -0.0092113893271
0.464220054336 0.9144 -0.00966321083792
0.460481769672 0.9144 -0.0101050567082
0.456734206933 0.9144 -0.0105575757838
0.452995922269 0.9144 -0.0109994216541
0.449256940041 0.9144 -0.011431291884
0.445507982172 0.9144 -0.0118638596785
0.441768999943 0.9144 -0.0122957299083
0.438030017715 0.9144 -0.0127276001382
0.434280362281 0.9144 -0.0131501922922
0.430539984923 0.9144 -0.013562111241
0.42680030513 0.9144 -0.0139840058304
0.423049952132 0.9144 -0.0143966223439
0.419309574774 0.9144 -0.0148085412927
0.415558524211 0.9144 -0.0152111821658
0.411817449288 0.9144 -0.0156131254741
0.408066398725 0.9144 -0.0160157663471
0.404324626237 0.9144 -0.016407734015
0.400572878109 0.9144 -0.0168003992475
0.396831105622 0.9144 -0.0171923669153
0.393078659929 0.9144 -0.0175750565074
0.389326214237 0.9144 -0.0179577460994
0.385583744185 0.9144 -0.0183397381267
0.381830600927 0.9144 -0.0187124520783
0.37808743331 0.9144 -0.0190844684651
0.374333592488 0.9144 -0.0194472067761
0.370589727307 0.9144 -0.0198092475224
0.366835886485 0.9144 -0.0201719858335
0.363082045663 0.9144 -0.0205347241445
0.359337482916 0.9144 -0.0208867892503
0.355582246965 0.9144 -0.0212295762803
0.351837684218 0.9144 -0.0215816413861
0.348081750702 0.9144 -0.0219144527757
0.34432651475 0.9144 -0.0222572398057
0.340570581234 0.9144 -0.0225900511952
0.336824623358 0.9144 -0.02292216502
0.333067992277 0.9144 -0.0232450007691
0.329311361196 0.9144 -0.0235678365181
0.325564008191 0.9144 -0.0238799990619
0.321806679545 0.9144 -0.0241928591704
0.318049350899 0.9144 -0.0245057192789
0.314301300329 0.9144 -0.0248079061822
0.310543274119 0.9144 -0.0251107906503
0.306784550343 0.9144 -0.0254036994778
0.303025826568 0.9144 -0.0256966083053
0.299276380869 0.9144 -0.0259788439276
0.295516959529 0.9144 -0.0262617771146
0.291756840624 0.9144 -0.0265347346611
0.287996721719 0.9144 -0.0268076922076
0.28424588089 0.9144 -0.0270699765489
0.280485064421 0.9144 -0.0273329584549
0.276723550387 0.9144 -0.0275859647205
0.272962036352 0.9144 -0.027838970986
0.269209800394 0.9144 -0.0280813040462
0.26544689123 0.9144 -0.0283143590307
0.261683982066 0.9144 -0.0285474140153
0.257931048543 0.9144 -0.028779771435
0.25416674425 0.9144 -0.0289928751385
0.250402439957 0.9144 -0.029205978842
0.246638135664 0.9144 -0.0294190825455
0.242883109446 0.9144 -0.0296215130438
0.239117410024 0.9144 -0.0298146654663
0.235351013036 0.9144 -0.0299978422483
0.23159459169 0.9144 -0.0301803214655
0.227827497137 0.9144 -0.030353522607
0.224070378226 0.9144 -0.0305260261838
0.220301888544 0.9144 -0.0306792760443
0.216533398863 0.9144 -0.0308325259048
0.212774187257 0.9144 -0.03097510256
0.209004302446 0.9144 -0.0311084011395
0.205244393275 0.9144 -0.0312410021542
0.201473113335 0.9144 -0.0313543494527
0.197711809035 0.9144 -0.0314669991864
0.193949109605 0.9144 -0.0315596976392
0.190176434535 0.9144 -0.0316530936567
0.186413037541 0.9144 -0.0317358164689
0.182648942982 0.9144 -0.0318085636406
0.178874175218 0.9144 -0.0318720327366
0.175107987964 0.9144 -0.0319148529868
0.171341800711 0.9144 -0.031957673237
0.167574915893 0.9144 -0.0319905178467
0.163806635946 0.9144 -0.0320034111754
0.160038355998 0.9144 -0.0320163045042
0.156278656562 0.9144 -0.0320085489871
0.15250828392 0.9144 -0.0319915153943
0.148736516149 0.9144 -0.0319545305205
0.144974724019 0.9144 -0.031916848082
0.141202258683 0.9144 -0.0318698875677
0.137441164117 0.9144 -0.0318421807697
0.133670791475 0.9144 -0.0318251471769
0.129897628575 0.9144 -0.0317682110221
0.126130953491 0.9144 -0.0316606991
0.122494659299 0.9144 -0.0315540944769
0.119030043689 0.9144 -0.0314655581747
0.115725735892 0.9144 -0.0313758364772
0.112580340778 0.9144 -0.0312649781035
0.109584580272 0.9144 -0.0311436562586
0.106738454374 0.9144 -0.0310118709427
0.104022709366 0.9144 -0.0308809929258
0.101436647685 0.9144 -0.0307410465672
0.0989716888202 0.9144 -0.0306126807128
0.0966364132815 0.9144 -0.0304752465168
0.0944008941478 0.9144 -0.0303308366735
0.0922758046243 0.9144 -0.0301887292585
0.0902511690707 0.9144 -0.0300496218366
0.088326289922 0.9144 -0.0299035387674
0.0863921326976 0.9144 -0.0297681289034
0.084467253549 0.9144 -0.0296220458342
0.0825416768356 0.9144 -0.0294659871245
0.0806161001222 0.9144 -0.0293099284148
0.0786898258441 0.9144 -0.0291438940645
0.0767728296417 0.9144 -0.0289671865091
0.0748451602341 0.9144 -0.0287812008778
0.0729174908265 0.9144 -0.0285952152466
0.0709990994947 0.9144 -0.0283985564101
0.0690707325224 0.9144 -0.0282025951384
0.0671516436258 0.9144 -0.0279959606614
0.0652318571645 0.9144 -0.0277793505439
0.0633113731385 0.9144 -0.027552764786
0.0613894939829 0.9144 -0.027306227747
0.0594676148274 0.9144 -0.027059690708
0.0575457356719 0.9144 -0.026813153669
0.0556331345922 0.9144 -0.0265559434248
0.0537098603072 0.9144 -0.0262894551048
0.0517958640979 0.9144 -0.0260122935796
0.049881170324 0.9144 -0.0257251564138
0.0479565009095 0.9144 -0.0254387168128
0.0460253436782 0.9144 -0.0252028529791
0.0440740254318 0.9144 -0.0251087408066
0.0421041510338 0.9144 -0.0250359750446
0.0401386717584 0.9144 -0.0248827065938
0.0381982364513 0.9144 -0.0246575159653
0.0362450352448 0.9144 -0.0243931203395
0.0343018096788 0.9144 -0.024128027149
0.0323400279613 0.9144 -0.023884280369
0.030368968168 0.9144 -0.0236512067942
0.0283872351695 0.9144 -0.0234088551436
0.0263948289657 0.9144 -0.0231572254173
0.0244024227619 0.9144 -0.022905595691
0.0223793920719 0.9144 -0.0226460830183
0.0203463857414 0.9144 -0.0223872679105
0.0182920330004 0.9144 -0.0221098966511
0.0162070557732 0.9144 -0.0218246424454
0.0140914540597 0.9144 -0.0215315052934
0.011855934926 0.9144 -0.02138709545
