TITLE = "Cp Analysis Results"
VARIABLES = "X/C", "Y/C", "CP_1", "CP_2"

0.0000	0.00000	0.423296368	0.394347737
0.0030	-0.00953 0.997881684 0.997687684
0.0100	-0.01704 0.858109316 0.859286526
0.0200	-0.02360 0.614926237 0.616296974
0.0300	-0.02840 0.444786789 0.444831184
0.0400	-0.03228 0.316856658 0.316083921
0.0550	-0.03701 0.213787474 0.215636289
0.0750	-0.04200 0.119740211 0.120837026
0.1000	-0.04683 0.037874079 0.039942184
0.1200	-0.04988 -0.004892526 -0.000911658
0.1400	-0.05238 -0.015756132 -0.007062132
0.1600	-0.05442 -0.076750842 -0.078788526
0.1800	-0.05607 -0.084252474 -0.084252474
0.2000	-0.05738 -0.108130579 -0.084490263
0.2400	-0.05913 -0.137608421 -0.135835447
0.2800	-0.05993 -0.141648947 -0.141436579
0.3200	-0.05993 -0.140525289 -0.141018316
0.3600	-0.05926 -0.148981947 -0.149305763
0.4000	-0.05803 -0.147961632 -0.148694842
0.4500	-0.05581 -0.140108316 -0.137883737
0.5000	-0.05294 -0.127173053 -0.124325289
0.5500	-0.04952 -0.120878868 -0.120604184
0.6000	-0.04563 -0.103764211 -0.099448158
0.6500	-0.04132 -0.083470737 -0.087984474
0.7000	-0.03664 -0.069660605 -0.071031868
0.7500	-0.03160 -0.050201184 -0.052509921
0.8000	-0.02623 -0.031740263 -0.032002868
0.9000	-0.01448 0.019781421 0.022756132
0.9500	-0.00807 0.067385895 0.065420368
0.0030	0.00953	-0.973222763 -0.988378447
0.0100	0.01704	-1.396911211 -1.387129553
0.0200	0.02360	-1.441395079 -1.454978974
0.0300	0.02840	-1.362104789 -1.370373895
0.0400	0.03228	-1.376699579 -1.376699579
0.0500	0.03555	-1.257948158 -1.284321421
0.0700	0.04086	-1.140514447 -1.155878105
0.0900	0.04505	-1.083575342 -1.095253342
0.1200	0.04988	-0.987432789 -0.994966579
0.1500	0.05345	-0.879193211 -0.885767947
0.2000	0.05738	-0.8279295 -0.832933316
0.2500	0.05941	-0.726768211 -0.729348053
0.3000	0.06002	-0.640794421 -0.648648105
0.4000	0.05803	-0.517937816 -0.518900684
0.5000	0.05294	-0.414144316 -0.423511895
0.6000	0.04563	-0.315120053 -0.316979132
0.7000	0.03664	-0.223928079 -0.225814211
0.8000	0.02623	-0.128565921 -0.129948105
0.9000	0.01448	-0.016996158 -0.018415368
0.9500	0.00807	0.057818553 0.056224684
