TITLE = "CCS Analysis Results"
VARIABLES = "X", "Y"

ZONE T="MaxCCS", I=5937, F=POINT
1.0406682538799222e+01	-1.0945314839862230e+00
1.0401057028666722e+01	-1.0948846898739815e+00
1.0396320108579681e+01	-1.0951723587755613e+00
1.0396217179121185e+01	-1.0951786095891114e+00
1.0395942181835496e+01	-1.0951953099272336e+00
1.0395469763539065e+01	-1.0952239994659894e+00
1.0395444807680549e+01	-1.0952255150128587e+00
1.0395430794622092e+01	-1.0952263660133104e+00
1.0394975746921274e+01	-1.0952523616411687e+00
1.0394975757158097e+01	-1.0952525408344940e+00
1.0391365107642747e+01	-1.0954588070013034e+00
1.0389546209290584e+01	-1.0955627155056658e+00
1.0386587643856737e+01	-1.0957317299582456e+00
1.0380202068996200e+01	-1.0960965197401833e+00
1.0380202060968637e+01	-1.0960965203390061e+00
1.0379883244189598e+01	-1.0961203027485031e+00
1.0379768106881929e+01	-1.0961288915141496e+00
1.0379456142138869e+01	-1.0961521627901798e+00
1.0379035161837617e+01	-1.0961835661747341e+00
1.0378914395983518e+01	-1.0961925748066013e+00
1.0378847724465428e+01	-1.0961975482253459e+00
1.0377350277011137e+01	-1.0963092515951165e+00
1.0374703341705965e+01	-1.0965067019913259e+00
1.0373071897540690e+01	-1.0966284009600153e+00
1.0371912938620566e+01	-1.0967148544889407e+00
1.0367867825350560e+01	-1.0970166031627047e+00
1.0364327417999823e+01	-1.0972807028680431e+00
1.0364010464447167e+01	-1.0973060811463180e+00
1.0363928378805593e+01	-1.0973126536937363e+00
1.0363889921011779e+01	-1.0973157329859071e+00
1.0363446362708508e+01	-1.0973512484295966e+00
1.0363218360103307e+01	-1.0973695044595850e+00
1.0362918489972946e+01	-1.0973935148786222e+00
1.0362549010045406e+01	-1.0974230989118017e+00
1.0362506659532606e+01	-1.0974264898916153e+00
1.0361583352459556e+01	-1.0975004185276460e+00
1.0361322990052638e+01	-1.0975212655872852e+00
1.0358424639075338e+01	-1.0977533347880364e+00
1.0357170480307841e+01	-1.0978540302028914e+00
1.0357121410798397e+01	-1.0978579699549693e+00
1.0356948594393497e+01	-1.0978718452473455e+00
1.0355471147321950e+01	-1.0979690376049975e+00
1.0352516253178853e+01	-1.0981634223203018e+00
1.0352365419352831e+01	-1.0981731783928252e+00
1.0349678802727849e+01	-1.0983499147436009e+00
1.0349671510064605e+01	-1.0983503809884201e+00
1.0347342862436756e+01	-1.0985035687116558e+00
1.0347260725194090e+01	-1.0985081310080655e+00
1.0346829148998223e+01	-1.0985321028199386e+00
1.0346737939996414e+01	-1.0985371690053618e+00
1.0346630801473157e+01	-1.0985440988249553e+00
1.0346624128833122e+01	-1.0985445304175352e+00
1.0346606780990591e+01	-1.0985456524921675e+00
1.0342060648611270e+01	-1.0988012338720829e+00
1.0341679941475034e+01	-1.0988226370445171e+00
1.0333423095328927e+01	-1.0992868329710086e+00
1.0331136195668607e+01	-1.0994154013720459e+00
1.0330079975194426e+01	-1.0994747815800472e+00
1.0329927358247650e+01	-1.0994833616315285e+00
1.0329820120124349e+01	-1.0994893905073391e+00
1.0329403853661837e+01	-1.0995127928080255e+00
1.0328894970243093e+01	-1.0995414019895289e+00
1.0328471089523841e+01	-1.0995693363431291e+00
1.0328252162485860e+01	-1.0995837639521564e+00
1.0327647486317286e+01	-1.0996236129878389e+00
1.0327467127028108e+01	-1.0996354989263357e+00
1.0327433514598948e+01	-1.0996377140341216e+00
1.0326529354712344e+01	-1.0996972994807728e+00
1.0326339866777355e+01	-1.0997097870102559e+00
1.0326233683520082e+01	-1.0997167846407694e+00
1.0319563855075849e+01	-1.1001563359997995e+00
1.0313940767585702e+01	-1.1005269056132319e+00
1.0310178438258259e+01	-1.1007748485675108e+00
1.0310115505746312e+01	-1.1007789106199874e+00
1.0309043037154980e+01	-1.1008495878541589e+00
1.0307382390000067e+01	-1.1009590269079390e+00
1.0306648321885245e+01	-1.1010074030603676e+00
1.0306620127804557e+01	-1.1010091484963340e+00
1.0305559496615144e+01	-1.1010790456285666e+00
1.0304976123641337e+01	-1.1011144999047384e+00
1.0304947550199033e+01	-1.1011163660031968e+00
1.0303924544098644e+01	-1.1011785134693874e+00
1.0303880731912272e+01	-1.1011813413781211e+00
1.0302609613404087e+01	-1.1012585616356363e+00
1.0301565903267454e+01	-1.1013219668689038e+00
1.0301361741021074e+01	-1.1013343696945561e+00
1.0298296042867992e+01	-1.1015206103946331e+00
1.0298296044531499e+01	-1.1015206377775308e+00
1.0296772248387144e+01	-1.1016132081633054e+00
1.0294679314367098e+01	-1.1017403535891253e+00
1.0291370242184826e+01	-1.1019449049576611e+00
1.0286596396490912e+01	-1.1022434147111668e+00
1.0284897991603751e+01	-1.1023503275688940e+00
1.0284861547936602e+01	-1.1023526216606212e+00
1.0284048478964468e+01	-1.1024038035242611e+00
1.0282753152487459e+01	-1.1024853430066268e+00
1.0281967791760993e+01	-1.1025347806644246e+00
1.0281236342083734e+01	-1.1025808246765858e+00
1.0280052584109168e+01	-1.1026593377256593e+00
1.0278531390667728e+01	-1.1027602312679916e+00
1.0269395657732977e+01	-1.1033661610810448e+00
1.0268766415505903e+01	-1.1034078957319742e+00
1.0268571786722569e+01	-1.1034208045355856e+00
1.0267957482347809e+01	-1.1034630471895159e+00
1.0267074024473594e+01	-1.1035237981897952e+00
1.0266577874162945e+01	-1.1035579159768911e+00
1.0266313306717441e+01	-1.1035761089631384e+00
1.0265789894319452e+01	-1.1036121014282738e+00
1.0265525024806793e+01	-1.1036303151861757e+00
1.0263609068345938e+01	-1.1037620659746237e+00
1.0260863264144669e+01	-1.1039508812613130e+00
1.0256686837834035e+01	-1.1042380733090251e+00
1.0255413221571896e+01	-1.1043256535594876e+00
1.0255395977772920e+01	-1.1043264820757950e+00
1.0255161421458231e+01	-1.1043426113459673e+00
1.0255134107916149e+01	-1.1043439044339323e+00
1.0255102723392751e+01	-1.1043460534726182e+00
1.0253424424005882e+01	-1.1044248609115619e+00
1.0252278779617933e+01	-1.1044786566174181e+00
1.0250076181444264e+01	-1.1045820834091140e+00
1.0249955440103431e+01	-1.1045878846928092e+00
1.0248443886202503e+01	-1.1046588623102054e+00
1.0247496272821300e+01	-1.1047033591289888e+00
1.0247128819148353e+01	-1.1047206135492202e+00
1.0244099130648697e+01	-1.1048628777920146e+00
1.0243640016924878e+01	-1.1048844362678389e+00
1.0241710800361938e+01	-1.1049750259550442e+00
1.0241668277485456e+01	-1.1049770226899644e+00
1.0239179940615779e+01	-1.1050991961880596e+00
1.0238585293041671e+01	-1.1051283924657613e+00
1.0237828550824103e+01	-1.1051655473401689e+00
1.0237274302296287e+01	-1.1051927600870772e+00
1.0236996399068378e+01	-1.1052064047064611e+00
1.0236510035284503e+01	-1.1052302844172619e+00
1.0235988258111330e+01	-1.1052559028707960e+00
1.0234838005379963e+01	-1.1053131957207081e+00
1.0234589405027556e+01	-1.1053255782365587e+00
1.0233757213851064e+01	-1.1053676315038794e+00
1.0229636320681097e+01	-1.1055758733441812e+00
