TITLE = "cutData curvilinear distance mapping"
VARIABLES = "s" "variable Index"

ZONE T="SLICE_Y_0p10_BINS07_KS_0p5mm_CUTDATA"
-0.985742356071 0
-0.985637494541 96
-0.985315877039 95
-0.984762349484 94
-0.983944691106 93
-0.982819533784 92
-0.981322400599 91
-0.97936567095 90
-0.976831533003 89
-0.97356091449 88
-0.969345393091 87
-0.963907115701 86
-0.956882464235 85
-0.947799224276 84
-0.936053234531 83
-0.920890409625 82
-0.901403092775 81
-0.876548714972 80
-0.845217860785 79
-0.806368203153 78
-0.75924235044 77
-0.703657718321 76
-0.640311890204 75
-0.570971535452 74
-0.498387008569 73
-0.425874442824 72
-0.356710783762 71
-0.293573255507 70
-0.238180948875 69
-0.191214884535 68
-0.152486111021 67
-0.121230795853 66
-0.096404121918 65
-0.0769009961967 64
-0.0616898490136 63
-0.0498684247839 62
-0.040645808169 61
-0.0333599983392 60
-0.0274990808443 59
-0.0226907233585 58
-0.0186773969846 57
-0.015274357867 56
-0.0123482483703 55
-0.00979160497811 54
-0.00752029201245 53
-0.00546414673054 52
-0.00357757117694 51
-0.00182889148853 50
0 49
0.00182889148853 48
0.00357757117694 47
0.00546414673054 46
0.00752029201245 45
0.00979160497811 44
0.0123482483703 43
0.015274357867 42
0.0186773969846 41
0.0226907233585 40
0.0274990808443 39
0.0333599983392 38
0.040645808169 37
0.0498684247839 36
0.0616898490136 35
0.0769009961967 34
0.096404121918 33
0.121230795853 32
0.152486111021 31
0.191214884535 30
0.238180948875 29
0.293573255507 28
0.356710783762 27
0.425874442824 26
0.498387008569 24
0.498387008569 25
0.570971535452 23
0.640311890204 22
0.703657718321 21
0.75924235044 20
0.806368203153 19
0.845217860785 18
0.876548714972 17
0.901403092775 16
0.920890409625 15
0.936053234531 14
0.947799224276 13
0.956882464235 12
0.963907115701 11
0.969345393091 10
0.97356091449 9
0.976831533003 8
0.97936567095 7
0.981322400599 6
0.982819533784 5
0.983944691106 4
0.984762349484 3
0.985315877039 2
0.985637494541 1

ZONE T="SLICE_Y_0p75_BINS07_KS_0p5mm_CUTDATA"
-0.790031842496 0
-0.789948149113 96
-0.789690054014 95
-0.789246425354 94
-0.788591089075 93
-0.787688754522 92
-0.78648902892 91
-0.784920425232 90
-0.782889286521 89
-0.780268748614 88
-0.776890680228 87
-0.772531602074 86
-0.766901485322 85
-0.759622429126 84
-0.750207913466 83
-0.738055962893 82
-0.722437380993 81
-0.702517268325 80
-0.677407532689 79
-0.646270576052 78
-0.608501247506 77
-0.563952688687 76
-0.513183609855 75
-0.457610146545 74
-0.399436591684 73
-0.341320810711 72
-0.285889042038 71
-0.235286906088 70
-0.190892190194 69
-0.153250825648 68
-0.12221127008 67
-0.0971614591765 66
-0.0772639470004 65
-0.0616329934033 64
-0.0494419163303 63
-0.0399674838179 62
-0.0325759596952 61
-0.0267366722735 60
