TITLE = "TC_NACA0012_3933_L4_finalIceShape_V1 | NACA0012 coordinates rotated +4 degrees about X=0.13335 m"
AUXDATA NUM_LAYERS = "insert the number of total ice layers"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p5334mm_SINGLE_LAYER"
0.53340476436 0.9144 -3.59910094617e-06
0.533400159503 0.9144 -0.000224458321478
0.533395554646 0.9144 -0.00044531754201
0.533401622995 0.9144 -0.000675454838307
0.532686864702 0.9144 -0.000775557701916
0.531545246562 0.9144 -0.000935582770743
0.529718099487 0.9144 -0.00118364236846
0.526789236833 0.9144 -0.00158893677606
0.522103056588 0.9144 -0.00223740782822
0.51460562868 0.9144 -0.00325287558961
0.506451203629 0.9144 -0.00433433390468
0.498286105373 0.9144 -0.00540651414399
0.490119611987 0.9144 -0.00645874310229
0.481951723472 0.9144 -0.00749102077959
0.473782439827 0.9144 -0.00850334717588
0.465601785413 0.9144 -0.0094964198559
0.457429711509 0.9144 -0.0104688436902
0.449256940041 0.9144 -0.011431291884
0.441072797802 0.9144 -0.0123744863615
0.43289793364 0.9144 -0.0133070076337
0.424711001142 0.9144 -0.0142102995492
0.41652337108 0.9144 -0.0151036158242
0.408345019094 0.9144 -0.015986258894
0.400155296338 0.9144 -0.0168496482475
0.391964178452 0.9144 -0.01769308632
0.383771665437 0.9144 -0.0185165731114
0.375578454857 0.9144 -0.0193300842624
0.367383849148 0.9144 -0.0201236441324
0.359187848309 0.9144 -0.0208972527214
0.35099045234 0.9144 -0.0216509100293
0.342792358807 0.9144 -0.0223945916968
0.33459217258 0.9144 -0.0231083464427
0.326381313147 0.9144 -0.0238128231129
0.318179034226 0.9144 -0.0244966509374
0.30997466261 0.9144 -0.0251505518403
0.301768895865 0.9144 -0.0257845014622
0.29355175835 0.9144 -0.0263991973679
0.285343201346 0.9144 -0.0269932444278
0.277132551647 0.9144 -0.0275573645662
0.268910531179 0.9144 -0.0281022309884
0.260695696092 0.9144 -0.0286064972838
0.252479465876 0.9144 -0.0290908122981
0.244261142965 0.9144 -0.029545200391
0.23603075172 0.9144 -0.0299703591271
0.227807545856 0.9144 -0.0303549177365
0.219582247299 0.9144 -0.0307095494244
0.211354158482 0.9144 -0.0310242785502
0.203133255046 0.9144 -0.0312984075493
0.194900283276 0.9144 -0.0315433071916
0.186673101759 0.9144 -0.0317276554262
0.178433154341 0.9144 -0.0318727986635
0.170520310366 0.9144 -0.031964995343
0.16297516996 0.9144 -0.0320114308461
0.155787059918 0.9144 -0.0320028270973
0.148947399729 0.9144 -0.0319598329421
0.142435540547 0.9144 -0.0318738678695
0.136222253016 0.9144 -0.0317570002143
0.130317512775 0.9144 -0.0316085324118
0.124691392903 0.9144 -0.0314305571561
0.119333917761 0.9144 -0.031223772012
0.114235809271 0.9144 -0.0309988501848
0.109377116154 0.9144 -0.0307571868038
0.104757140843 0.9144 -0.0304888062286
0.100346653984 0.9144 -0.030205776794
0.0961563287798 0.9144 -0.0299173765756
0.0921754920265 0.9144 -0.0296143274978
0.0883742168023 0.9144 -0.0292987222546
0.0845202731166 0.9144 -0.0289467022732
0.0806749099419 0.9144 -0.028574033446
0.0768281516377 0.9144 -0.0281814133377
0.0729885787151 0.9144 -0.0277481931028
0.0691469130983 0.9144 -0.0272850459463
0.065312432863 0.9144 -0.0267812986631
0.0615184113825 0.9144 -0.0268561385291
0.0581105036031 0.9144 -0.0288687648151
0.0536717584003 0.9144 -0.0303319602989
0.0491447735819 0.9144 -0.0298164911396
0.0451963759127 0.9144 -0.0292605632255
0.041284602716 0.9144 -0.0285116103181
0.0373971759229 0.9144 -0.0276807595925
0.0335134466876 0.9144 -0.0267594305377
0.0296433906507 0.9144 -0.0257469255889
0.0257742419128 0.9144 -0.0246040397487
0.0219245566253 0.9144 -0.0233094266069
0.0180929396587 0.9144 -0.0218431348823
0.014305830111 0.9144 -0.0201531936782
0.0105889695151 0.9144 -0.0181776564573
0.00699942145515 0.9144 -0.0158724352694
0.00358427387472 0.9144 -0.0131941397286
0.000936343314067 0.9144 -0.0105925125943
-0.00101043379025 0.9144 -0.00841300372618
-0.0028232738174 0.9144 -0.00671532559533
-0.00478044603057 0.9144 -0.00481722735552
-0.00670224752874 0.9144 -0.00213475107387
-0.00804071564901 0.9144 0.00138044495069
-0.00838852235661 0.9144 0.00606760085743
-0.0061587748847 0.9144 0.0115966085633
-8.17812780694e-05 0.9144 0.0165826639887
0.00630324855098 0.9144 0.0145831905375
0.00945833191361 0.9144 0.011896733954
0.0128502640662 0.9144 0.0137077547357
0.0163579966129 0.9144 0.0152963114333
0.0199381391678 0.9144 0.0167094919903
0.0235686477558 0.9144 0.0179758281986
0.0272367564774 0.9144 0.0191345250556
0.0309424653326 0.9144 0.0201855825614
