TITLE     = ""
VARIABLES = "CoordinateX_Iced"
"CoordinateY_Iced"
ZONE T="Slice-SOL_SURFACE_DROP_DATA_BF_LAGRANGIAN_CASE_241_IPW1_layer020_20_LAYERS_DISTRIBUTION_DROP_LAGRANGIAN_NO_SLD-step0_WALL-0.0005"
 STRANDID=0, SOLUTIONTIME=0
 I=243, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 AUXDATA HIGHLIGHT_X="-0.000297954642"
 AUXDATA HIGHLIGHT_Y="0.002061321642"
 AUXDATA HIGHLIGHT_Z="0.000000000000"
 AUXDATA INTEGRATED_ICE_MASS="0.000000000000"
 AUXDATA LOWER_HORN_ANGLE="256.218722006026"
 AUXDATA LOWER_HORN_HEIGHT="0.000589098455"
 AUXDATA UPPER_HORN_ANGLE="139.389421935915"
 AUXDATA UPPER_HORN_HEIGHT="0.000576693944"
 DT=(SINGLE SINGLE )
 9.580264799E-03 1.527641248E-02
 1.152430568E-02 1.658188179E-02
 1.372243650E-02 1.792487688E-02
 1.619900204E-02 1.930174977E-02
 1.898168214E-02 2.070605196E-02
 2.210167609E-02 2.212763391E-02
 2.559263073E-02 2.355490252E-02
 2.948969603E-02 2.497773245E-02
 3.383273631E-02 2.637887560E-02
 3.866527975E-02 2.773745544E-02
 4.391651228E-02 2.900857851E-02
 4.920841381E-02 3.010568209E-02
 5.453122780E-02 3.105269000E-02
 5.988498405E-02 3.181336448E-02
 6.525380909E-02 3.246259689E-02
 7.063393295E-02 3.302911669E-02
 7.602997869E-02 3.343063593E-02
 8.142954856E-02 3.379293159E-02
 8.683539927E-02 3.407138214E-02
 9.224462509E-02 3.429268673E-02
 9.765665233E-02 3.446969017E-02
 1.030711308E-01 3.458536416E-02
 1.084869057E-01 3.468352556E-02
 1.139043346E-01 3.470489383E-02
 1.193225384E-01 3.471447527E-02
 1.247414201E-01 3.468032181E-02
 1.301607490E-01 3.462371603E-02
 1.355803609E-01 3.453470394E-02
 1.409998536E-01 3.441125527E-02
 1.464194804E-01 3.426649421E-02
 1.518384665E-01 3.408390284E-02
 1.572576761E-01 3.389197588E-02
 1.626754552E-01 3.365254402E-02
 1.680932641E-01 3.340480849E-02
 1.735100597E-01 3.312778473E-02
 1.789263934E-01 3.283548728E-02
 1.843418181E-01 3.252129257E-02
 1.897562593E-01 3.218619153E-02
 1.951700449E-01 3.183685616E-02
 2.005824149E-01 3.146350384E-02
 2.059944570E-01 3.108309209E-02
 2.114043683E-01 3.067193925E-02
 2.168139964E-01 3.025612235E-02
 2.222218812E-01 2.981775254E-02
 2.276290953E-01 2.937128954E-02
 2.330345213E-01 2.890383080E-02
 2.384389788E-01 2.842640877E-02
 2.438422590E-01 2.793700993E-02
 2.492439598E-01 2.743236721E-02
 2.546446621E-01 2.691878006E-02
