#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_SINGLE_LAYER"
1.003138542E+00 1.000000015E-01 3.134383820E-03
1.001427054E+00 1.000000015E-01 3.344748868E-03
1.001341462E+00 1.000000015E-01 3.355272347E-03
9.995164275E-01 1.000000015E-01 3.579292912E-03
9.994251728E-01 1.000000015E-01 3.590499284E-03
9.974789619E-01 1.000000015E-01 3.829143010E-03
9.973815680E-01 1.000000015E-01 3.841080936E-03
9.953061938E-01 1.000000015E-01 4.095403478E-03
9.952023625E-01 1.000000015E-01 4.108125810E-03
9.929890633E-01 1.000000015E-01 4.379284568E-03
9.928783178E-01 1.000000015E-01 4.392848816E-03
9.905180335E-01 1.000000015E-01 4.682114348E-03
9.903999567E-01 1.000000015E-01 4.696584772E-03
9.878829718E-01 1.000000015E-01 5.005361978E-03
9.877570271E-01 1.000000015E-01 5.020808429E-03
9.850730300E-01 1.000000015E-01 5.350657273E-03
9.849388003E-01 1.000000015E-01 5.367157515E-03
9.820770025E-01 1.000000015E-01 5.719770212E-03
9.819338918E-01 1.000000015E-01 5.737409461E-03
9.788829684E-01 1.000000015E-01 6.114387885E-03
9.787303209E-01 1.000000015E-01 6.133246236E-03
9.754782319E-01 1.000000015E-01 6.535839289E-03
9.753155708E-01 1.000000015E-01 6.555978674E-03
9.718495607E-01 1.000000015E-01 6.985154003E-03
9.716761708E-01 1.000000015E-01 7.006622851E-03
9.679833055E-01 1.000000015E-01 7.463392336E-03
9.677985311E-01 1.000000015E-01 7.486241870E-03
9.638649225E-01 1.000000015E-01 7.971837185E-03
9.636681080E-01 1.000000015E-01 7.996127941E-03
9.594793320E-01 1.000000015E-01 8.511860855E-03
9.592697620E-01 1.000000015E-01 8.537659422E-03
9.548109770E-01 1.000000015E-01 9.084716439E-03
9.545879364E-01 1.000000015E-01 9.112082422E-03
9.498437047E-01 1.000000015E-01 9.691439569E-03
9.496064186E-01 1.000000015E-01 9.720421396E-03
9.445610046E-01 1.000000015E-01 1.033288799E-02
9.443085790E-01 1.000000015E-01 1.036352571E-02
9.389458299E-01 1.000000015E-01 1.100980584E-02
9.386775494E-01 1.000000015E-01 1.104213484E-02
9.329808354E-01 1.000000015E-01 1.172280591E-02
9.326958656E-01 1.000000015E-01 1.175685506E-02
9.266484976E-01 1.000000015E-01 1.247231476E-02
9.263459444E-01 1.000000015E-01 1.250810549E-02
9.199311137E-01 1.000000015E-01 1.325856894E-02
9.196102023E-01 1.000000015E-01 1.329611056E-02
9.128111601E-01 1.000000015E-01 1.408157218E-02
9.124710560E-01 1.000000015E-01 1.412086375E-02
9.052711725E-01 1.000000015E-01 1.494113635E-02
9.049110413E-01 1.000000015E-01 1.498216949E-02
8.972940445E-01 1.000000015E-01 1.583693735E-02
8.969130516E-01 1.000000015E-01 1.587969624E-02
8.888633847E-01 1.000000015E-01 1.676848717E-02
8.884606957E-01 1.000000015E-01 1.681294851E-02
8.799635172E-01 1.000000015E-01 1.773516275E-02
8.795384169E-01 1.000000015E-01 1.778129488E-02
8.705798388E-01 1.000000015E-01 1.873627119E-02
8.701316714E-01 1.000000015E-01 1.878404245E-02
8.606990576E-01 1.000000015E-01 1.977102831E-02
8.602272272E-01 1.000000015E-01 1.982040145E-02
8.503094912E-01 1.000000015E-01 2.083858103E-02
8.498133421E-01 1.000000015E-01 2.088951506E-02
8.394014835E-01 1.000000015E-01 2.193803899E-02
8.388806581E-01 1.000000015E-01 2.199049108E-02
8.279675245E-01 1.000000015E-01 2.306850627E-02
8.274216056E-01 1.000000015E-01 2.312243171E-02
8.160024881E-01 1.000000015E-01 2.422904409E-02
8.154312968E-01 1.000000015E-01 2.428440191E-02
8.035045266E-01 1.000000015E-01 2.541853860E-02
8.029079437E-01 1.000000015E-01 2.547527291E-02
7.904745340E-01 1.000000015E-01 2.663555741E-02
7.898525596E-01 1.000000015E-01 2.669359930E-02
7.769170403E-01 1.000000015E-01 2.787821367E-02
7.762699723E-01 1.000000015E-01 2.793747187E-02
7.628403902E-01 1.000000015E-01 2.914402448E-02
7.621685863E-01 1.000000015E-01 2.920438163E-02
7.482567430E-01 1.000000015E-01 3.042969853E-02
7.475607991E-01 1.000000015E-01 3.049099445E-02
7.331823111E-01 1.000000015E-01 3.173085675E-02
7.324630022E-01 1.000000015E-01 3.179287910E-02
7.176377773E-01 1.000000015E-01 3.304183856E-02
7.168961167E-01 1.000000015E-01 3.310431540E-02
7.016479373E-01 1.000000015E-01 3.435558453E-02
7.008851171E-01 1.000000015E-01 3.441817686E-02
6.852419972E-01 1.000000015E-01 3.566356748E-02
6.844595075E-01 1.000000015E-01 3.572586551E-02
6.684533358E-01 1.000000015E-01 3.695577383E-02
6.676526666E-01 1.000000015E-01 3.701729700E-02
6.513193846E-01 1.000000015E-01 3.822082654E-02
6.505023241E-01 1.000000015E-01 3.828103095E-02
6.338812113E-01 1.000000015E-01 3.944633156E-02
6.330497861E-01 1.000000015E-01 3.950462490E-02
6.161834598E-01 1.000000015E-01 4.061926156E-02
6.153397560E-01 1.000000015E-01 4.067501798E-02
5.982736945E-01 1.000000015E-01 4.172635823E-02
5.974199772E-01 1.000000015E-01 4.177895188E-02
5.802019835E-01 1.000000015E-01 4.275472835E-02
5.793406963E-01 1.000000015E-01 4.280354083E-02
5.620202422E-01 1.000000015E-01 4.369256273E-02
5.611538291E-01 1.000000015E-01 4.373703524E-02
5.437819362E-01 1.000000015E-01 4.452966154E-02
5.429129601E-01 1.000000015E-01 4.456930980E-02
5.255410671E-01 1.000000015E-01 4.525781050E-02
5.246720910E-01 1.000000015E-01 4.529225081E-02
5.073516965E-01 1.000000015E-01 4.587110132E-02
5.064852834E-01 1.000000015E-01 4.590005800E-02
4.892672300E-01 1.000000015E-01 4.636625201E-02
4.884059131E-01 1.000000015E-01 4.638957232E-02
4.713398814E-01 1.000000015E-01 4.674282297E-02
4.704861641E-01 1.000000015E-01 4.676049203E-02
4.536198676E-01 1.000000015E-01 4.700291529E-02
4.527761340E-01 1.000000015E-01 4.701504111E-02
4.361550510E-01 1.000000015E-01 4.715061188E-02
4.353235960E-01 1.000000015E-01 4.715739191E-02
4.189902842E-01 1.000000015E-01 4.719189927E-02
4.181732237E-01 1.000000015E-01 4.719362780E-02
4.021671414E-01 1.000000015E-01 4.713437334E-02
4.013664424E-01 1.000000015E-01 4.713141173E-02
3.857232928E-01 1.000000015E-01 4.698652402E-02
3.849407732E-01 1.000000015E-01 4.697927460E-02
3.696925938E-01 1.000000015E-01 4.675723240E-02
3.689298034E-01 1.000000015E-01 4.674612358E-02
3.541044891E-01 1.000000015E-01 4.645548016E-02
