VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"
ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_SINGLE_LAYER"
0.61539 0.10000 -0.04069 
0.59842 0.10000 -0.04174 
0.59746 0.10000 -0.04180 
0.58034 0.10000 -0.04277 
0.57937 0.10000 -0.04283 
0.56214 0.10000 -0.04371 
0.56117 0.10000 -0.04376 
0.54389 0.10000 -0.04455 
0.54291 0.10000 -0.04460 
0.52564 0.10000 -0.04528 
0.52466 0.10000 -0.04532 
0.50743 0.10000 -0.04590 
0.50646 0.10000 -0.04593 
0.48933 0.10000 -0.04639 
0.48837 0.10000 -0.04642 
0.47139 0.10000 -0.04677 
0.47043 0.10000 -0.04679 
0.45366 0.10000 -0.04703 
0.45271 0.10000 -0.04704 
0.43618 0.10000 -0.04718 
0.43525 0.10000 -0.04718 
0.41901 0.10000 -0.04722 
0.41809 0.10000 -0.04722 
0.40217 0.10000 -0.04716 
0.40127 0.10000 -0.04715 
0.38572 0.10000 -0.04701 
0.38484 0.10000 -0.04700 
0.36968 0.10000 -0.04678 
0.36882 0.10000 -0.04676 
0.35408 0.10000 -0.04647 
0.35325 0.10000 -0.04646 
0.33895 0.10000 -0.04611 
0.33814 0.10000 -0.04609 
0.32431 0.10000 -0.04568 
0.32353 0.10000 -0.04566 
0.31018 0.10000 -0.04521 
0.30943 0.10000 -0.04519 
0.29657 0.10000 -0.04470 
0.29584 0.10000 -0.04467 
0.28348 0.10000 -0.04416 
0.28278 0.10000 -0.04413 
0.27093 0.10000 -0.04358 
0.27026 0.10000 -0.04355 
0.25891 0.10000 -0.04298 
0.25827 0.10000 -0.04294 
0.24743 0.10000 -0.04235 
0.24681 0.10000 -0.04232 
0.23647 0.10000 -0.04171 
0.23588 0.10000 -0.04168 
0.22603 0.10000 -0.04105 
0.22547 0.10000 -0.04102 
0.21610 0.10000 -0.04038 
0.21557 0.10000 -0.04035 
0.20667 0.10000 -0.03970 
0.20617 0.10000 -0.03967 
0.19772 0.10000 -0.03902 
0.19725 0.10000 -0.03898 
0.18925 0.10000 -0.03833 
0.18880 0.10000 -0.03829 
0.18123 0.10000 -0.03764 
0.18081 0.10000 -0.03760 
0.17365 0.10000 -0.03694 
0.17325 0.10000 -0.03691 
0.16650 0.10000 -0.03626 
0.16611 0.10000 -0.03622 
0.15974 0.10000 -0.03557 
0.15938 0.10000 -0.03553 
0.15338 0.10000 -0.03489 
0.15304 0.10000 -0.03486 
0.14738 0.10000 -0.03422 
0.14706 0.10000 -0.03419 
0.14174 0.10000 -0.03357 
0.14143 0.10000 -0.03353 
0.13642 0.10000 -0.03292 
0.13614 0.10000 -0.03289 
0.13143 0.10000 -0.03229 
0.13116 0.10000 -0.03225 
0.12613 0.10000 -0.03527 
0.12569 0.10000 -0.03603 
0.11911 0.10000 -0.04942 
0.11843 0.10000 -0.05057 
0.11362 0.10000 -0.05566 
0.11309 0.10000 -0.05560 
0.10954 0.10000 -0.05527 
0.10904 0.10000 -0.05522 
0.10569 0.10000 -0.05500 
0.10520 0.10000 -0.05496 
0.10203 0.10000 -0.05488 
0.10156 0.10000 -0.05486 
0.09852 0.10000 -0.05491 
0.09806 0.10000 -0.05491 
0.09515 0.10000 -0.05506 
0.09469 0.10000 -0.05509 
0.09187 0.10000 -0.05537 
0.09139 0.10000 -0.05541 
0.08863 0.10000 -0.05577 
0.08813 0.10000 -0.05582 
0.08543 0.10000 -0.05617 
0.08491 0.10000 -0.05624 
0.08227 0.10000 -0.05652 
0.08173 0.10000 -0.05658 
0.07916 0.10000 -0.05673 
0.07858 0.10000 -0.05676 
0.07610 0.10000 -0.05676 
0.07549 0.10000 -0.05675 
0.07313 0.10000 -0.05653 
0.07251 0.10000 -0.05645 
0.07029 0.10000 -0.05600 
0.06965 0.10000 -0.05586 
0.06759 0.10000 -0.05518 
0.06696 0.10000 -0.05497 
0.06511 0.10000 -0.05401 
0.06450 0.10000 -0.05369 
0.06286 0.10000 -0.05249 
0.06229 0.10000 -0.05208 
0.06085 0.10000 -0.05072 
0.06034 0.10000 -0.05023 
0.05912 0.10000 -0.04870 
0.05866 0.10000 -0.04815 
0.05765 0.10000 -0.04650 
0.05727 0.10000 -0.04589 
0.05647 0.10000 -0.04414 
0.05617 0.10000 -0.04350 
0.05552 0.10000 -0.04174 
