TITLE = "002_NACA0012_AE3933_01 | NACA0012 coordinates rotated +4 degrees about X=0.13335 m"
AUXDATA NUM_LAYERS = "1"
AUXDATA DATA_TYPE = "SLICE"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
-999 -999 -999

ZONE T="SLICE_Y_0p9144_BINS03_KS_1mm_SINGLE_LAYER"
0.531545246562 0.9144 -0.000935582770743
0.529718099487 0.9144 -0.00118364236846
0.526789236833 0.9144 -0.00158893677606
0.522103056588 0.9144 -0.00223740782822
0.51460562868 0.9144 -0.00325287558961
0.506451203629 0.9144 -0.00433433390468
0.498286105373 0.9144 -0.00540651414399
0.490119611987 0.9144 -0.00645874310229
0.481951723472 0.9144 -0.00749102077959
0.473782439827 0.9144 -0.00850334717588
0.465601785413 0.9144 -0.0094964198559
0.457429711509 0.9144 -0.0104688436902
0.449256940041 0.9144 -0.011431291884
0.441072797802 0.9144 -0.0123744863615
0.43289793364 0.9144 -0.0133070076337
0.424711001142 0.9144 -0.0142102995492
0.41652337108 0.9144 -0.0151036158242
0.408345019094 0.9144 -0.015986258894
0.400155296338 0.9144 -0.0168496482475
0.391964178452 0.9144 -0.01769308632
0.383771665437 0.9144 -0.0185165731114
0.375578454857 0.9144 -0.0193300842624
0.367383849148 0.9144 -0.0201236441324
0.359187848309 0.9144 -0.0208972527214
0.35099045234 0.9144 -0.0216509100293
0.342792358807 0.9144 -0.0223945916968
0.334582196939 0.9144 -0.0231090440075
0.326381313147 0.9144 -0.0238128231129
0.318179034226 0.9144 -0.0244966509374
0.30997466261 0.9144 -0.0251505518403
0.301768895865 0.9144 -0.0257845014622
0.29355175835 0.9144 -0.0263991973679
0.285343201346 0.9144 -0.0269932444278
0.277132551647 0.9144 -0.0275573645662
0.268910531179 0.9144 -0.0281022309884
0.260695696092 0.9144 -0.0286064972838
0.252479465876 0.9144 -0.0290908122981
0.244261142965 0.9144 -0.029545200391
0.23603075172 0.9144 -0.0299703591271
0.227807545856 0.9144 -0.0303549177365
0.219582247299 0.9144 -0.0307095494244
0.211354158482 0.9144 -0.0310242785502
0.203133255046 0.9144 -0.0312984075493
0.194900283276 0.9144 -0.0315433071916
0.186663126118 0.9144 -0.031728352991
0.178433154341 0.9144 -0.0318727986635
0.170520310366 0.9144 -0.031964995343
0.16297516996 0.9144 -0.0320114308461
0.155787059918 0.9144 -0.0320028270973
0.148947399729 0.9144 -0.0319598329421
0.142427657601 0.9144 -0.0319044923558
0.136219253023 0.9144 -0.0318574541841
0.130310815224 0.9144 -0.0317994647108
0.1246789051 0.9144 -0.0316820408629
0.119324917781 0.9144 -0.0315251339213
0.114220321475 0.9144 -0.0313507878613
0.109354442976 0.9144 -0.0311497246071
0.104728677414 0.9144 -0.0309418954397
0.100321678378 0.9144 -0.0307087442075
0.0961241677921 0.9144 -0.0304609441159
0.0921261700168 0.9144 -0.0301991927295
0.0883191045405 0.9144 -0.0299441388942
0.0844593706027 0.9144 -0.0296526703205
0.0805982415354 0.9144 -0.0293412504657
0.0767350197739 0.9144 -0.0289999036895
0.0728796809587 0.9144 -0.0286279324271
0.0690222494493 0.9144 -0.0282260342431
0.0651727008862 0.9144 -0.0277935115729
0.0613210596289 0.9144 -0.0273310619811
0.0574680232421 0.9144 -0.0268486611084
0.0536214746721 0.9144 -0.0263156844684
0.0497763212316 0.9144 -0.0258026591095
0.0458831725486 0.9144 -0.0254634050275
0.04194851644 0.9144 -0.0252473464552
0.037892825878 0.9144 -0.0254507526145
0.033631690882 0.9144 -0.026300063244
0.0294384340472 0.9144 -0.0265431622312
0.025465411878 0.9144 -0.0257784434313
0.0215141555876 0.9144 -0.0247515677194
0.0175709919777 0.9144 -0.0235537109894
0.013613877073 0.9144 -0.0221563414494
0.00967573778828 0.9144 -0.0204569124353
0.00589386229984 0.9144 -0.0181250424154
0.00266002248409 0.9144 -0.0147423836909
0.000102014059941 0.9144 -0.0115630767064
-0.0023037108697 0.9144 -0.00898461058038
-0.00489848513832 0.9144 -0.00656973035667
-0.00969417840016 0.9144 -0.00421853361067
-0.0167655668065 0.9144 -1.5363369624e-06
-0.0160083068369 0.9144 0.0056550666488
-0.0142833413764 0.9144 0.0109482881783
-0.00968783989908 0.9144 0.014327084735
-0.00217207022198 0.9144 0.0137900501359
0.00409172006717 0.9144 0.0126642476605
0.00851525557022 0.9144 0.0134848167637
0.0123353013278 0.9144 0.0147644067021
0.0160825176086 0.9144 0.0159386597175
0.0198267338964 0.9144 0.0170124587632
0.0235424183921 0.9144 0.0180642138337
0.0272360589126 0.9144 0.0191445006961
0.0309424653326 0.9144 0.0201855825614
0.0346644279109 0.9144 0.0211475568673
0.0384112247235 0.9144 0.0220410968192
0.0421728801297 0.9144 0.0228655048523
0.0459387209243 0.9144 0.0236300590424
0.0497280008236 0.9144 0.0243461301595
0.0535107929061 0.9144 0.0250116255093
0.0573170240933 0.9144 0.025628637786
0.0611167674636 0.9144 0.0261950742955
0.0649285791687 0.9144 0.0267322814483
0.0687431811328 0.9144 0.027229586039
0.0725698514315 0.9144 0.027697661273
0.0763893363487 0.9144 0.0281251363802
0.0802201920359 0.9144 0.0285333577712
0.0840431647768 0.9144 0.0289109546759
0.0878789034171 0.9144 0.0292493465833
0.0915756806552 0.9144 0.0295679969439
0.0954541121165 0.9144 0.0298692765483
0.099534149082 0.9144 0.0301545805259
0.103815093987 0.9144 0.0304338845173
0.108317595677 0.9144 0.0306986080113
0.113042351718 0.9144 0.0309387753676
0.11800791826 0.9144 0.0311757329966
0.123226363638 0.9144 0.0313802515415
0.128696990288 0.9144 0.0315623066428
0.134450422695 0.9144 0.0317140153543
0.140485963295 0.9144 0.0318453533164
0.14683493414 0.9144 0.0319384619423
0.153487359588 0.9144 0.0319926436674
0.160483142201 0.9144 0.0320106887505
0.167822979545 0.9144 0.0319826215512
0.175536798541 0.9144 0.0319105347636
0.183635272393 0.9144 0.031785150312
0.191937444444 0.9144 0.0316138633122
0.200243104319 0.9144 0.0313926981099
0.208552252017 0.9144 0.031121654705
0.216853516769 0.9144 0.0308199868139
0.22515757178 0.9144 0.0304784163608
0.233454441409 0.9144 0.0300962457809
0.241754101298 0.9144 0.0296741726391
0.250045180675 0.9144 0.0292314506515
0.258349025952 0.9144 0.0287495236666
0.266634315077 0.9144 0.0282462502712
0.274932370102 0.9144 0.0277037718786
0.283221844616 0.9144 0.0271406446402
0.291513411824 0.9144 0.0265475904803
0.299796398521 0.9144 0.0259338874747
0.308080780347 0.9144 0.025300233188
0.316367254867 0.9144 0.0246366519799
0.324644451312 0.9144 0.0239623975665
0.332923740451 0.9144 0.0232582162316
0.34120442472 0.9144 0.0225340836157
0.349476528477 0.9144 0.0217893021541
0.357749329799 0.9144 0.0210345450519
0.366024223816 0.9144 0.0202498610283
0.374289839757 0.9144 0.0194545037994
0.382566826467 0.9144 0.0186398928542
0.390825257026 0.9144 0.0178039354986
0.399094360791 0.9144 0.0169587000672
0.407354884044 0.9144 0.01609281579
0.415616802427 0.9144 0.0152069802319
0.423880115939 0.9144 0.0143011933927
0.432144127016 0.9144 0.013385430913
0.440399557582 0.9144 0.0124490195876
0.448645710072 0.9144 0.011501935057
0.456903233332 0.9144 0.0105355968101
