VARIABLES = "X" "Y" "Z" "Cp" "Beta"
ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_CUTDATA"
1.02631 0.10000 0.00023 0.11849 0.00000
1.02767 0.10000 0.00005 0.12225 0.00000
1.02809 0.10000 0.00000 0.12387 0.00000
1.02767 0.10000 -0.00005 0.12278 0.00000
1.02631 0.10000 -0.00023 0.11807 0.00000
1.02371 0.10000 -0.00056 0.11207 0.00000
1.01925 0.10000 -0.00113 0.10311 0.00000
1.01183 0.10000 -0.00206 0.09097 0.00000
0.99946 0.10000 -0.00359 0.07314 0.00000
0.97878 0.10000 -0.00613 0.04571 0.00000
0.94439 0.10000 -0.01035 0.00700 0.00000
0.88858 0.10000 -0.01680 -0.03450 0.00000
0.80304 0.10000 -0.02547 -0.07936 0.00000
0.68455 0.10000 -0.03573 -0.12895 0.00000
0.54291 0.10000 -0.04460 -0.15745 0.00000
0.40127 0.10000 -0.04715 -0.14933 0.00000
0.28278 0.10000 -0.04413 -0.12167 0.00000
0.19725 0.10000 -0.03898 -0.09207 0.00000
0.14143 0.10000 -0.03353 -0.06899 0.00000
0.10704 0.10000 -0.02882 -0.07084 0.00313
0.08637 0.10000 -0.02492 -0.05706 0.08508
0.07400 0.10000 -0.02052 0.08604 0.24421
0.06657 0.10000 -0.01578 0.32682 0.39636
0.06212 0.10000 -0.01130 0.56246 0.50647
0.05952 0.10000 -0.00724 0.73346 0.58292
0.05816 0.10000 -0.00355 0.79029 0.62679
0.05773 0.10000 0.00000 0.76328 0.63063
0.05816 0.10000 0.00355 0.65414 0.59709
0.05952 0.10000 0.00724 0.42136 0.52467
0.06212 0.10000 0.01130 0.12538 0.41927
0.06657 0.10000 0.01578 -0.17640 0.29316
0.07400 0.10000 0.02052 -0.43401 0.11681
0.08637 0.10000 0.02492 -0.52104 0.00000
0.10704 0.10000 0.02882 -0.43205 0.00000
0.14143 0.10000 0.03353 -0.34276 0.00000
0.19725 0.10000 0.03898 -0.30464 0.00000
0.28278 0.10000 0.04413 -0.28763 0.00000
0.40127 0.10000 0.04715 -0.27674 0.00000
0.54291 0.10000 0.04460 -0.24835 0.00000
0.68455 0.10000 0.03573 -0.18850 0.00000
0.80304 0.10000 0.02547 -0.11609 0.00000
0.88858 0.10000 0.01680 -0.05406 0.00000
0.94439 0.10000 0.01035 -0.00016 0.00000
0.97878 0.10000 0.00613 0.04496 0.00000
0.99946 0.10000 0.00359 0.07425 0.00000
1.01183 0.10000 0.00206 0.09286 0.00000
1.01925 0.10000 0.00113 0.10479 0.00000

ZONE T="SLICE_Y_0p75_BINS01_KS_1mm_CUTDATA"
1.20927 0.75000 0.00018 0.12485 0.00000
1.21036 0.75000 0.00004 0.12772 0.00000
1.21070 0.75000 0.00000 0.12843 0.00000
1.21036 0.75000 -0.00004 0.12830 0.00000
1.20927 0.75000 -0.00018 0.12506 0.00000
1.20719 0.75000 -0.00045 0.11985 0.00000
1.20361 0.75000 -0.00090 0.11226 0.00000
1.19766 0.75000 -0.00165 0.10150 0.00000
1.18775 0.75000 -0.00287 0.08547 0.00000
1.17118 0.75000 -0.00491 0.06047 0.00000
1.14362 0.75000 -0.00830 0.02408 0.00000
1.09888 0.75000 -0.01347 -0.01710 0.00000
1.03033 0.75000 -0.02041 -0.06476 0.00000
0.93537 0.75000 -0.02864 -0.12158 0.00000
0.82185 0.75000 -0.03574 -0.16165 0.00000
0.70833 0.75000 -0.03779 -0.16491 0.00000
0.61337 0.75000 -0.03536 -0.14425 0.00000
0.54481 0.75000 -0.03124 -0.11717 0.00000
0.50008 0.75000 -0.02687 -0.09298 0.00000
0.47252 0.75000 -0.02310 -0.09146 0.02360
0.45595 0.75000 -0.01997 -0.08546 0.11625
0.44603 0.75000 -0.01644 0.03807 0.27109
0.44008 0.75000 -0.01265 0.28506 0.42270
0.43651 0.75000 -0.00906 0.52460 0.52914
0.43442 0.75000 -0.00580 0.68758 0.59682
0.43333 0.75000 -0.00284 0.74345 0.63347
0.43300 0.75000 0.00000 0.66655 0.63346
0.43333 0.75000 0.00284 0.48003 0.60080
0.43442 0.75000 0.00580 0.20043 0.53021
0.43651 0.75000 0.00906 -0.14138 0.42415
0.44008 0.75000 0.01265 -0.49304 0.29539
0.44603 0.75000 0.01644 -0.72211 0.11579
0.45595 0.75000 0.01997 -0.70992 0.00000
0.47252 0.75000 0.02310 -0.54782 0.00000
0.50008 0.75000 0.02687 -0.42375 0.00000
0.54481 0.75000 0.03124 -0.36311 0.00000
0.61337 0.75000 0.03536 -0.32664 0.00000
0.70833 0.75000 0.03779 -0.29542 0.00000
0.82185 0.75000 0.03574 -0.24575 0.00000
0.93537 0.75000 0.02864 -0.16975 0.00000
1.03033 0.75000 0.02041 -0.09085 0.00000
1.09888 0.75000 0.01347 -0.02851 0.00000
1.14362 0.75000 0.00830 0.02265 0.00000
1.17118 0.75000 0.00491 0.06267 0.00000
1.18775 0.75000 0.00287 0.08799 0.00000
1.19766 0.75000 0.00165 0.10374 0.00000
1.20361 0.75000 0.00090 0.11371 0.00000

ZONE T="SLICE_Y_1p4_BINS01_KS_1mm_CUTDATA"
0.83799 1.40000 0.01737 -0.52630 0.00000
0.85872 1.40000 0.02022 -0.40239 0.00000
0.89237 1.40000 0.02350 -0.32734 0.00000
0.94395 1.40000 0.02660 -0.27196 0.00000
1.01538 1.40000 0.02843 -0.22646 0.00000
1.10078 1.40000 0.02689 -0.17492 0.00000
1.18618 1.40000 0.02154 -0.10998 0.00000
1.25762 1.40000 0.01536 -0.04776 0.00000
1.30919 1.40000 0.01013 -0.00057 0.00000
1.34284 1.40000 0.00624 0.03821 0.00000
1.36358 1.40000 0.00369 0.06907 0.00000
1.37604 1.40000 0.00216 0.08934 0.00000
1.38350 1.40000 0.00124 0.10226 0.00000
1.38798 1.40000 0.00068 0.11063 0.00000
1.39066 1.40000 0.00034 0.11684 0.00000
