TITLE = "cutData curvilinear distance mapping"
VARIABLES = "s" "variable Index"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_CUTDATA"
-0.00183330303005 48
0 49
0.00183330303005 50
0.00358281724834 51
0.00546497027081 52
0.0075212290094 53
0.00979114090196 54
0.0123497538074 55
0.0152754503057 56
0.0186731259818 57
0.0226896045389 58
0.0274996773035 59
0.0333612811795 60
0.0406465608585 61
0.0498630515138 62
0.0616866381101 63
0.0768994912284 64
0.0963991245583 65
0.121225290191 66
0.152487363058 67
0.19121160482 68
0.23817555376 69
0.293570239425 70
0.356709137895 71
0.425870074847 72
0.498383152977 73
0.570968540625 74
0.640306172543 75
0.703653267978 76
0.759240406778 77
0.806364478122 78
0.845219284774 79
0.876546541277 80
0.901401037852 81
0.92089442391 82
0.936049000777 83
0.94779758367 84
0.956884409298 85
0.963907264843 86
0.969348670911 87
0.973560891228 88
0.976826729559 89
0.979366965768 90
0.98132300769 91
0.982815153795 92
0.98394386988 93
0.984760019376 94
0.985315807105 95
0.985638297415 0
0.985638297415 96

ZONE T="SLICE_Y_0p75_BINS15_KS_1mm_CUTDATA"
-0.790033557409 1
-0.789952934832 2
-0.789691209785 3
-0.789247137719 4
-0.788592233146 5
-0.787694179695 6
-0.78649476317 7
-0.78492199491 8
-0.782886583404 9
-0.780265724766 10
-0.776889499063 11
-0.772535879878 12
-0.766904672193 13
-0.759620099453 14
-0.750209568118 15
-0.738057872763 16
-0.722441855345 17
-0.70252274643 18
-0.677403948688 19
-0.646271738679 20
-0.608503008227 21
-0.563951270887 22
-0.513186399174 23
-0.457614411627 24
-0.399440147557 25
-0.341323491597 26
-0.285892732988 27
-0.235285594163 28
-0.19089746512 29
-0.153256401107 30
-0.122211167979 31
-0.0971634814587 32
-0.0772658936652 33
-0.0616386706234 34
-0.0494480184669 35
-0.039965460795 36
-0.0325809567494 37
-0.0267381748777 38
-0.0220373451637 39
-0.0181860466814 40
-0.0149716882695 41
-0.0122392900555 42
-0.00990155611 43
-0.00785094644456 44
-0.00602389964713 45
-0.00437994101018 46
-0.00286465225882 47
-0.00146219013811 48
0 49
0.00146219013811 50
0.00286465225882 51
0.00437994101018 52
0.00602389964713 53
0.00785094644456 54
0.00990155611 55
0.0122392900555 56
0.0149716882695 57
0.0181860466814 58
0.0220373451637 59
0.0267381748777 60
0.0325809567494 61
0.039965460795 62
0.0494480184669 63
0.0616386706234 64
0.0772658936652 65
0.0971634814587 66
0.122211167979 67
0.153256401107 68
0.19089746512 69
0.235285594163 70
0.285892732988 71
0.341323491597 72
0.399440147557 73
0.457614411627 74
0.513186399174 75
0.563951270887 76
0.608503008227 77
0.646271738679 78
0.677403948688 79
0.70252274643 80
0.722441855345 81
0.738057872763 82
0.750209568118 83
0.759620099453 84
0.766904672193 85
0.772535879878 86
0.776889499063 87
0.780265724766 88
0.782886583404 89
0.78492199491 90
0.78649476317 91
0.787694179695 92
0.788592233146 93
0.789247137719 94
0.789691209785 95
0.789952934832 0
0.789952934832 96

ZONE T="SLICE_Y_1p4_BINS15_KS_1mm_CUTDATA"
-0.59432753203 0
-0.59432753203 96
-0.594256821351 95
-0.59406577162 94
-0.593732005234 93
-0.593238345432 92
-0.592563586216 91
-0.591655621459 90
-0.590476045264 89
-0.588954138565 88
-0.586978259014 87
-0.58443926315 86
-0.581153582094 85
-0.576922731116 84
-0.571441627212 83
-0.564369145328 82
-0.555219101612 81
-0.543472953308 80
-0.528488050906 79
-0.509598707349 78
-0.486179149283 77
-0.457763813635 76
-0.42424747732 75
-0.386056520275 74
-0.344249462258 73
-0.300485783254 72
-0.256765851872 71
-0.215065271541 70
-0.176999890944 69
-0.143608679525 68
-0.115290499852 67
-0.091933554418 66
-0.073090293023 65
-0.058122367315 64
-0.0463649994123 63
-0.0371965480708 62
-0.0300682032419 61
-0.0245038074975 60
-0.0201159948306 59
-0.0165851450745 58
-0.0136789792155 57
-0.0112667395923 56
-0.00920700659989 55
-0.00744311884836 54
-0.00590864825561 53
-0.00452937308365 52
-0.00329770754463 51
-0.00215884846643 50
-0.00110163514831 49
0 48
0.00110163514831 47
0.00215884846643 46
0.00329770754463 45
0.00452937308365 44
0.00590864825561 43
0.00744311884836 42
0.00920700659989 41
0.0112667395923 40
0.0136789792155 39
0.0165851450745 38
0.0201159948306 37
0.0245038074975 36
0.0300682032419 35
0.0371965480708 34
0.0463649994123 33
0.058122367315 32
0.073090293023 31
0.091933554418 30
0.115290499852 29
0.143608679525 28
0.176999890944 27
0.215065271541 26
0.256765851872 25
0.300485783254 24
0.344249462258 23
0.386056520275 22
0.42424747732 21
0.457763813635 20
0.486179149283 19
0.509598707349 18
0.528488050906 17
0.543472953308 16
0.555219101612 15
0.564369145328 14
0.571441627212 13
0.576922731116 12
0.581153582094 11
0.58443926315 10
0.586978259014 9
0.588954138565 8
0.590476045264 7
0.591655621459 6
0.592563586216 5
0.593238345432 4
0.593732005234 3
0.59406577162 2
0.594256821351 1
