#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = 6
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_FINAL_LAYER"
0.57946 0.10000 0.04272 
0.57218 0.10000 0.04312 
0.56798 0.10000 0.04335 
0.56029 0.10000 0.04370 
0.55669 0.10000 0.04387 
0.55432 0.10000 0.04398 
0.54561 0.10000 0.04440 
0.53591 0.10000 0.04478 
0.53466 0.10000 0.04483 
0.53330 0.10000 0.04488 
0.52392 0.10000 0.04525 
0.51761 0.10000 0.04546 
0.51340 0.10000 0.04559 
0.50567 0.10000 0.04584 
0.50334 0.10000 0.04592 
0.50217 0.10000 0.04595 
0.49371 0.10000 0.04617 
0.48711 0.10000 0.04633 
0.48458 0.10000 0.04640 
0.48192 0.10000 0.04645 
0.47520 0.10000 0.04660 
0.47033 0.10000 0.04669 
0.46523 0.10000 0.04676 
0.45851 0.10000 0.04685 
0.45608 0.10000 0.04688 
0.44682 0.10000 0.04697 
0.44646 0.10000 0.04697 
0.44412 0.10000 0.04699 
0.43634 0.10000 0.04706 
0.43511 0.10000 0.04707 
0.42581 0.10000 0.04709 
0.42268 0.10000 0.04709 
0.41454 0.10000 0.04710 
0.41239 0.10000 0.04710 
0.41092 0.10000 0.04709 
0.40217 0.10000 0.04705 
0.39245 0.10000 0.04698 
0.39116 0.10000 0.04697 
0.38843 0.10000 0.04694 
0.37904 0.10000 0.04682 
0.37665 0.10000 0.04679 
0.36763 0.10000 0.04664 
0.36462 0.10000 0.04659 
0.36362 0.10000 0.04657 
0.35305 0.10000 0.04636 
0.35032 0.10000 0.04630 
0.34097 0.10000 0.04607 
0.34094 0.10000 0.04607 
0.33262 0.10000 0.04584 
0.32252 0.10000 0.04555 
0.32245 0.10000 0.04555 
0.32238 0.10000 0.04555 
0.31238 0.10000 0.04519 
0.30584 0.10000 0.04496 
0.30253 0.10000 0.04484 
0.29418 0.10000 0.04452 
0.29265 0.10000 0.04446 
0.29210 0.10000 0.04444 
0.28274 0.10000 0.04404 
0.27942 0.10000 0.04388 
0.27369 0.10000 0.04361 
0.26697 0.10000 0.04329 
0.26456 0.10000 0.04317 
0.25898 0.10000 0.04287 
0.25596 0.10000 0.04271 
0.25397 0.10000 0.04260 
0.24769 0.10000 0.04226 
0.24267 0.10000 0.04198 
0.23947 0.10000 0.04180 
0.23578 0.10000 0.04157 
0.23140 0.10000 0.04130 
0.22642 0.10000 0.04098 
0.22380 0.10000 0.04082 
0.22053 0.10000 0.04060 
0.21510 0.10000 0.04022 
0.21279 0.10000 0.04005 
0.20699 0.10000 0.03964 
0.20383 0.10000 0.03941 
0.20003 0.10000 0.03912 
0.19585 0.10000 0.03878 
0.19376 0.10000 0.03862 
0.18895 0.10000 0.03824 
0.18819 0.10000 0.03818 
0.18298 0.10000 0.03775 
0.18298 0.10000 0.03775 
0.18298 0.10000 0.03775 
0.17812 0.10000 0.03731 
0.17777 0.10000 0.03728 
0.17370 0.10000 0.03692 
0.17333 0.10000 0.03689 
0.17128 0.10000 0.03670 
0.16956 0.10000 0.03654 
0.16917 0.10000 0.03650 
0.16606 0.10000 0.03621 
0.16423 0.10000 0.03604 
0.16275 0.10000 0.03590 
0.16014 0.10000 0.03565 
0.15965 0.10000 0.03561 
0.15925 0.10000 0.03557 
0.15657 0.10000 0.03531 
0.15570 0.10000 0.03522 
0.15392 0.10000 0.03504 
0.15383 0.10000 0.03504 
0.15207 0.10000 0.03486 
0.15163 0.10000 0.03481 
0.15014 0.10000 0.03466 
0.14951 0.10000 0.03460 
0.14831 0.10000 0.03447 
0.14761 0.10000 0.03440 
0.14661 0.10000 0.03430 
0.14592 0.10000 0.03423 
0.14506 0.10000 0.03413 
0.14439 0.10000 0.03406 
0.14364 0.10000 0.03399 
0.14299 0.10000 0.03392 
0.14235 0.10000 0.03385 
0.14171 0.10000 0.03378 
0.14117 0.10000 0.03372 
0.14053 0.10000 0.03366 
0.14007 0.10000 0.03361 
0.13944 0.10000 0.03354 
0.13905 0.10000 0.03350 
0.13842 0.10000 0.03343 
0.13815 0.10000 0.03340 
0.13754 0.10000 0.03334 
0.13739 0.10000 0.03332 
0.13728 0.10000 0.03331 
0.13666 0.10000 0.03324 
0.13612 0.10000 0.03320 
0.13598 0.10000 0.03319 
0.13580 0.10000 0.03317 
0.13535 0.10000 0.03313 
0.13508 0.10000 0.03311 
0.13480 0.10000 0.03308 
0.13446 0.10000 0.03305 
0.13404 0.10000 0.03300 
0.13389 0.10000 0.03299 
0.13365 0.10000 0.03296 
0.13334 0.10000 0.03293 
0.13315 0.10000 0.03291 
0.13284 0.10000 0.03288 
0.13241 0.10000 0.03283 
0.13238 0.10000 0.03283 
0.13225 0.10000 0.03281 
0.13190 0.10000 0.03278 
0.13183 0.10000 0.03277 
0.13139 0.10000 0.03275 
0.13126 0.10000 0.03275 
0.13093 0.10000 0.03278 
0.13086 0.10000 0.03278 
0.13079 0.10000 0.03279 
0.13048 0.10000 0.03283 
0.13038 0.10000 0.03284 
0.13003 0.10000 0.03288 
0.12981 0.10000 0.03291 
0.12955 0.10000 0.03293 
0.12920 0.10000 0.03297 
0.12907 0.10000 0.03298 
0.12860 0.10000 0.03303 
0.12854 0.10000 0.03304 
0.12809 0.10000 0.03309 
0.12800 0.10000 0.03310 
0.12799 0.10000 0.03310 
0.12746 0.10000 0.03315 
0.12739 0.10000 0.03316 
0.12692 0.10000 0.03321 
0.12685 0.10000 0.03322 
0.12637 0.10000 0.03328 
0.12635 0.10000 0.03328 
0.12608 0.10000 0.03334 
0.12587 0.10000 0.03339 
0.12585 0.10000 0.03339 
0.12543 0.10000 0.03353 
0.12535 0.10000 0.03356 
0.12502 0.10000 0.03369 
