TITLE = "TC_NACA0012_3933_L3_finalIceShape_V1 | NACA0012 coordinates rotated +4 degrees about X=0.13335 m"
AUXDATA NUM_LAYERS = "1"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p4mm_SINGLE_LAYER"
-999 -999 -999

ZONE T="SLICE_Y_0p9144_BINS03_KS_0p4mm_SINGLE_LAYER"
-999 -999 -999

ZONE T="SLICE_Y_0p9144_BINS07_KS_0p4mm_SINGLE_LAYER"
-999 -999 -999

ZONE T="SLICE_Y_0p9144_BINS15_KS_0p4mm_SINGLE_LAYER"
0.0224901160918 0.9144 0.0176164983234
0.0221655854905 0.9144 0.0175092690078
0.0217997767687 0.9144 0.0173879559688
0.0214931006172 0.9144 0.0172840101151
0.021299568629 0.9144 0.0172187911358
0.0211591189488 0.9144 0.0171700150453
0.0205564875138 0.9144 0.0169580412439
0.0205070170123 0.9144 0.016940838451
0.0204585472846 0.9144 0.0169239462251
0.0198572065787 0.9144 0.0167227587354
0.0198146160004 0.9144 0.0167090944814
0.0197186588449 0.9144 0.0166794686816
0.0192648394685 0.9144 0.0165387490563
0.0188114278304 0.9144 0.0163957823996
0.0188111684638 0.9144 0.016395764263
0.0188101790607 0.9144 0.0163954344423
0.01838008225 0.9144 0.0162576567859
0.0182513499219 0.9144 0.0162160655585
0.0178743991072 0.9144 0.0160939633641
0.0177842677257 0.9144 0.0160647449422
0.0174133575582 0.9144 0.0159471450895
0.0173117518101 0.9144 0.0159145780992
0.0172873116821 0.9144 0.0159072754532
0.0168703186464 0.9144 0.0157823732339
0.0167120447445 0.9144 0.0157371925467
0.0163922163502 0.9144 0.0156465817223
0.0160469303125 0.9144 0.0155485971003
0.0159008814625 0.9144 0.0155070680849
0.0158180145954 0.9144 0.0154831994417
0.0153948578039 0.9144 0.0153591393118
0.0152661090946 0.9144 0.0153213662426
0.0148586998731 0.9144 0.0152014747623
0.0146950200038 0.9144 0.0151536104367
0.0142919220145 0.9144 0.0150375790959
0.0140512195491 0.9144 0.0149695728809
0.0137297755935 0.9144 0.0148801322111
0.0134254296946 0.9144 0.0147974807797
0.0132673265687 0.9144 0.0147535851355
0.0129838670168 0.9144 0.0146744392012
0.0126001415302 0.9144 0.0145653561436
0.0124702436756 0.9144 0.0145295376753
0.0120118622 0.9144 0.01440302442
0.0120095952174 0.9144 0.0144026152866
0.0119946050985 0.9144 0.0143985096276
0.0114559022996 0.9144 0.0142518643996
0.0113699935597 0.9144 0.0142277730234
0.0108709622377 0.9144 0.0140928136038
0.0107701174517 0.9144 0.0140674271871
0.0103244434069 0.9144 0.0139631846076
0.0100934990428 0.9144 0.0139085917577
0.0100338694459 0.9144 0.0138947484857
0.00978160043113 0.9144 0.0138356070232
0.00927259282218 0.9144 0.0137157284291
0.00914202646759 0.9144 0.0136821588067
0.0086753519068 0.9144 0.013561421124
0.0081443721784 0.9144 0.0134280469577
0.00798941300269 0.9144 0.0133902254207
0.00784236118204 0.9144 0.0133593123014
0.00727441841489 0.9144 0.0132411768447
0.00692640885146 0.9144 0.0131748293054
0.00653738334764 0.9144 0.0131015437381
0.00615438428354 0.9144 0.0130184847464
0.00581377699047 0.9144 0.0129299996375
0.00543793589571 0.9144 0.0127809893063
0.00524546699618 0.9144 0.012700567451
0.00471941065646 0.9144 0.0124896177529
0.0045439935646 0.9144 0.0124165031717
0.00411704220204 0.9144 0.0122519497062
0.00389673588078 0.9144 0.0121655013302
0.00355066867204 0.9144 0.0120239260317
0.00339679537166 0.9144 0.0119632646047
0.0029331075747 0.9144 0.0118216043017
0.00289732005997 0.9144 0.011816304982
0.00229614125973 0.9144 0.0118712727675
0.00226779079076 0.9144 0.011876167061
0.00222863726861 0.9144 0.011882591499
0.00154937689086 0.9144 0.0119944912725
0.00126533179683 0.9144 0.0120293722567
0.000792189152401 0.9144 0.0120920201013
0.00069115822359 0.9144 0.0121022675021
0.000573661383772 0.9144 0.0121220595493
-7.07823851742e-05 0.9144 0.0122422481979
-0.000521007786822 0.9144 0.0123887389055
-0.00103151893619 0.9144 0.0125671821267
-0.00164464983793 0.9144 0.0127201047889
