VARIABLES = "X" "Y" "Z" "Beta"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p5334mm_CUTDATA"
0.53242 0.91440 -0.02798 0.00000 
0.53241 0.91440 -0.02813 0.00000 
0.53240 0.91440 -0.02828 0.00000 
0.53239 0.91440 -0.02843 0.00000 
0.53238 0.91440 -0.02858 0.00000 
0.53086 0.91440 -0.02868 0.00000 
0.52843 0.91440 -0.02885 0.00000 
0.52453 0.91440 -0.02911 0.00000 
0.51931 0.91440 -0.02946 0.00000 
0.51409 0.91440 -0.02980 0.00000 
0.50887 0.91440 -0.03013 0.00000 
0.50365 0.91440 -0.03045 0.00000 
0.49843 0.91440 -0.03077 0.00000 
0.49321 0.91440 -0.03107 0.00000 
0.48799 0.91440 -0.03137 0.00000 
0.48277 0.91440 -0.03166 0.00000 
0.47754 0.91440 -0.03195 0.00000 
0.47232 0.91440 -0.03223 0.00000 
0.46710 0.91440 -0.03250 0.00000 
0.46187 0.91440 -0.03276 0.00000 
0.45665 0.91440 -0.03302 0.00000 
0.45143 0.91440 -0.03327 0.00000 
0.44620 0.91440 -0.03351 0.00000 
0.44098 0.91440 -0.03374 0.00000 
0.43575 0.91440 -0.03397 0.00000 
0.43052 0.91440 -0.03420 0.00000 
0.42530 0.91440 -0.03441 0.00000 
0.42007 0.91440 -0.03462 0.00000 
0.41484 0.91440 -0.03482 0.00000 
0.40962 0.91440 -0.03502 0.00000 
0.40439 0.91440 -0.03521 0.00000 
0.39916 0.91440 -0.03539 0.00000 
0.39394 0.91440 -0.03556 0.00000 
0.38871 0.91440 -0.03573 0.00000 
0.38348 0.91440 -0.03589 0.00000 
0.37825 0.91440 -0.03605 0.00000 
0.37302 0.91440 -0.03620 0.00000 
0.36779 0.91440 -0.03634 0.00000 
0.36257 0.91440 -0.03647 0.00000 
0.35734 0.91440 -0.03660 0.00000 
0.35211 0.91440 -0.03672 0.00000 
0.34688 0.91440 -0.03683 0.00000 
0.34165 0.91440 -0.03693 0.00000 
0.33642 0.91440 -0.03703 0.00000 
0.33119 0.91440 -0.03712 0.00000 
0.32596 0.91440 -0.03720 0.00000 
0.32073 0.91440 -0.03727 0.00000 
0.31550 0.91440 -0.03733 0.00000 
0.31027 0.91440 -0.03739 0.00000 
0.30504 0.91440 -0.03743 0.00000 
0.29981 0.91440 -0.03747 0.00000 
0.29458 0.91440 -0.03750 0.00000 
0.28935 0.91440 -0.03752 0.00000 
0.28412 0.91440 -0.03753 0.00000 
0.27889 0.91440 -0.03753 0.00000 
0.27366 0.91440 -0.03752 0.00000 
0.26843 0.91440 -0.03750 0.00000 
0.26320 0.91440 -0.03746 0.00000 
0.25797 0.91440 -0.03742 0.00000 
0.25273 0.91440 -0.03736 0.00000 
0.24750 0.91440 -0.03730 0.00000 
0.24227 0.91440 -0.03722 0.00000 
0.23705 0.91440 -0.03712 0.00000 
0.23182 0.91440 -0.03702 0.00000 
0.22659 0.91440 -0.03690 0.00000 
0.22136 0.91440 -0.03677 0.00000 
0.21613 0.91440 -0.03662 0.00000 
0.21090 0.91440 -0.03646 0.00000 
0.20567 0.91440 -0.03628 0.00000 
0.20045 0.91440 -0.03608 0.00000 
0.19522 0.91440 -0.03587 0.00000 
