# 01 Bins
VARIABLES= "GRID_LEVEL" "WATER_MASS_LAGRANGIAN" "WATER_MASS_EULERIAN"
4 1.0377921891e-01 1.0600472226e-01
3 1.0392314526e-01 1.0617966318e-01
2 1.0465867638e-01 1.0601687326e-01
1 1.0532917850e-01 1.0610272727e-01

# 07 Bins
VARIABLES= "GRID_LEVEL" "WATER_MASS_LAGRANGIAN" "WATER_MASS_EULERIAN"
4 1.1222283144e-01 0.1145998419
3 1.1242077481e-01 0.11455664271
2 1.1348623197e-01 0.11465817699
1 1.1366420775e-01 0.11463763367
