#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_SINGLE_LAYER"
0.71701 0.10000 0.03310 
0.74768 0.10000 0.03049 
0.77640 0.10000 0.02793 
0.80304 0.10000 0.02547 
0.82755 0.10000 0.02311 
0.84994 0.10000 0.02088 
0.87026 0.10000 0.01878 
0.88858 0.10000 0.01680 
0.90502 0.10000 0.01497 
0.91971 0.10000 0.01329 
0.93279 0.10000 0.01175 
0.94439 0.10000 0.01035 
0.95466 0.10000 0.00910 
0.96374 0.10000 0.00799 
0.97174 0.10000 0.00700 
0.97878 0.10000 0.00613 
0.98499 0.10000 0.00536 
0.99044 0.10000 0.00469 
0.99524 0.10000 0.00410 
0.99946 0.10000 0.00359 
1.00317 0.10000 0.00313 
1.00643 0.10000 0.00273 
1.00930 0.10000 0.00237 
1.01183 0.10000 0.00206 
1.01405 0.10000 0.00178 
1.01601 0.10000 0.00154 
1.01773 0.10000 0.00132 
1.01925 0.10000 0.00113 
1.02059 0.10000 0.00096 
1.02177 0.10000 0.00081 
1.02280 0.10000 0.00068 
1.02371 0.10000 0.00056 
1.02450 0.10000 0.00046 
1.02519 0.10000 0.00037 
1.02579 0.10000 0.00030 
1.02631 0.10000 0.00023 
1.02675 0.10000 0.00017 
1.02712 0.10000 0.00013 
1.02743 0.10000 0.00009 
1.02767 0.10000 0.00005 
1.02786 0.10000 0.00003 
1.02799 0.10000 0.00001 
1.02807 0.10000 0.00000 
1.02809 0.10000 -0.00000 

ZONE T="SLICE_Y_0p75_BINS01_KS_1mm_SINGLE_LAYER"
1.21070 0.75000 0.00000 
1.21068 0.75000 -0.00000 
1.21062 0.75000 -0.00001 
1.21051 0.75000 -0.00002 
1.21036 0.75000 -0.00004 
1.21016 0.75000 -0.00007 
1.20992 0.75000 -0.00010 
1.20962 0.75000 -0.00014 
1.20927 0.75000 -0.00018 
1.20886 0.75000 -0.00024 
1.20838 0.75000 -0.00030 
1.20782 0.75000 -0.00037 
1.20719 0.75000 -0.00045 
1.20646 0.75000 -0.00054 
1.20563 0.75000 -0.00065 
1.20469 0.75000 -0.00077 
1.20361 0.75000 -0.00090 
1.20240 0.75000 -0.00106 
1.20101 0.75000 -0.00123 
1.19944 0.75000 -0.00143 
1.19766 0.75000 -0.00165 
1.19564 0.75000 -0.00190 
1.19334 0.75000 -0.00219 
1.19072 0.75000 -0.00251 
1.18775 0.75000 -0.00287 
1.18437 0.75000 -0.00329 
1.18052 0.75000 -0.00376 
1.17615 0.75000 -0.00430 
1.17118 0.75000 -0.00491 
1.16553 0.75000 -0.00561 
1.15912 0.75000 -0.00640 
1.15185 0.75000 -0.00730 
1.14362 0.75000 -0.00830 
1.13432 0.75000 -0.00942 
1.12384 0.75000 -0.01065 
1.11206 0.75000 -0.01200 
1.09888 0.75000 -0.01347 
1.08420 0.75000 -0.01505 
1.06792 0.75000 -0.01674 
1.04998 0.75000 -0.01853 
1.03033 0.75000 -0.02041 
1.00898 0.75000 -0.02239 
0.98596 0.75000 -0.02443 
0.96138 0.75000 -0.02653 
0.93537 0.75000 -0.02864 
0.90814 0.75000 -0.03069 
0.87994 0.75000 -0.03261 
0.85106 0.75000 -0.03432 
0.82185 0.75000 -0.03574 
0.79263 0.75000 -0.03681 
0.76376 0.75000 -0.03750 
0.73556 0.75000 -0.03782 
0.70833 0.75000 -0.03779 
0.68232 0.75000 -0.03748 
0.65773 0.75000 -0.03694 
0.63472 0.75000 -0.03622 
0.61337 0.75000 -0.03536 
0.59372 0.75000 -0.03442 
0.57578 0.75000 -0.03340 
0.55950 0.75000 -0.03234 
0.54481 0.75000 -0.03124 
0.53163 0.75000 -0.03013 
0.51986 0.75000 -0.02903 
0.50938 0.75000 -0.02794 
0.49928 0.75051 -0.03357 
0.48987 0.75125 -0.04118 
0.48208 0.75156 -0.04287 
0.47545 0.75169 -0.04232 
0.46959 0.75181 -0.04173 
0.46434 0.75197 -0.04133 
0.45951 0.75223 -0.04106 
0.45499 0.75262 -0.04077 
0.45074 0.75312 -0.04033 
0.44676 0.75369 -0.03953 
0.44316 0.75425 -0.03819 
0.44004 0.75471 -0.03624 
0.43746 0.75501 -0.03378 
0.43542 0.75515 -0.03103 
0.43385 0.75514 -0.02819 
0.43269 0.75500 -0.02539 
0.43184 0.75478 -0.02271 
0.43125 0.75450 -0.02020 
0.43087 0.75417 -0.01789 
0.43063 0.75383 -0.01577 
0.43048 0.75349 -0.01385 
0.43040 0.75317 -0.01211 
0.43035 0.75287 -0.01055 
0.43029 0.75263 -0.00915 
0.43016 0.75246 -0.00790 
0.42985 0.75244 -0.00684 
0.42941 0.75252 -0.00587 
0.42911 0.75255 -0.00489 
0.42879 0.75262 -0.00392 
0.42873 0.75257 -0.00290 
0.42852 0.75263 -0.00200 
0.42832 0.75271 -0.00073 
0.42782 0.75299 -0.00000 
0.42728 0.75331 0.00079 
0.42700 0.75351 0.00218 
0.42617 0.75405 0.00337 
0.42535 0.75461 0.00474 
0.42452 0.75520 0.00628 
0.42374 0.75579 0.00793 
0.42304 0.75637 0.00976 
0.42238 0.75696 0.01174 
0.42183 0.75752 0.01392 
0.42136 0.75807 0.01627 
0.42099 0.75861 0.01881 
0.42079 0.75910 0.02156 
0.42077 0.75954 0.02449 
0.42099 0.75990 0.02761 
0.42147 0.76017 0.03090 
0.42232 0.76031 0.03432 
0.42363 0.76027 0.03780 
0.42540 0.76006 0.04125 
0.42777 0.75961 0.04448 
0.43093 0.75884 0.04699 
0.43518 0.75756 0.04766 
0.44042 0.75586 0.04576 
0.44623 0.75400 0.04126 
0.45258 0.75201 0.03311 
0.45845 0.75053 0.02482 
0.46317 0.75000 0.02152 
0.46754 0.75000 0.02229 
0.47252 0.75000 0.02310 
0.47816 0.75000 0.02395 
0.48458 0.75000 0.02488 
0.49185 0.75000 0.02585 
0.50008 0.75000 0.02687 
0.50938 0.75000 0.02794 
0.51986 0.75000 0.02903 
0.53163 0.75000 0.03013 
0.54481 0.75000 0.03124 
0.55950 0.75000 0.03234 
0.57578 0.75000 0.03340 
0.59372 0.75000 0.03442 
0.61337 0.75000 0.03536 
0.63472 0.75000 0.03622 
0.65773 0.75000 0.03694 
0.68232 0.75000 0.03748 
0.70833 0.75000 0.03779 
0.73556 0.75000 0.03782 
0.76376 0.75000 0.03750 
0.79263 0.75000 0.03681 
0.82185 0.75000 0.03574 
0.85106 0.75000 0.03432 
0.87994 0.75000 0.03261 
0.90814 0.75000 0.03069 
0.93537 0.75000 0.02864 
0.96138 0.75000 0.02653 
0.98596 0.75000 0.02443 
1.00898 0.75000 0.02239 
1.03033 0.75000 0.02041 
1.04998 0.75000 0.01853 
1.06792 0.75000 0.01674 
1.08420 0.75000 0.01505 
1.09888 0.75000 0.01347 
1.11206 0.75000 0.01200 
1.12384 0.75000 0.01065 
1.13432 0.75000 0.00942 
1.14362 0.75000 0.00830 
1.15185 0.75000 0.00730 
1.15912 0.75000 0.00640 
1.16553 0.75000 0.00561 
1.17118 0.75000 0.00491 
1.17615 0.75000 0.00430 
1.18052 0.75000 0.00376 
1.18437 0.75000 0.00329 
1.18775 0.75000 0.00287 
1.19072 0.75000 0.00251 
1.19334 0.75000 0.00219 
1.19564 0.75000 0.00190 
1.19766 0.75000 0.00165 
1.19944 0.75000 0.00143 
1.20101 0.75000 0.00123 
1.20240 0.75000 0.00106 
1.20361 0.75000 0.00090 
1.20469 0.75000 0.00077 
1.20563 0.75000 0.00065 
1.20646 0.75000 0.00054 
1.20719 0.75000 0.00045 
1.20782 0.75000 0.00037 
1.20838 0.75000 0.00030 
1.20886 0.75000 0.00024 
1.20927 0.75000 0.00018 
1.20962 0.75000 0.00014 
1.20992 0.75000 0.00010 
1.21016 0.75000 0.00007 
1.21036 0.75000 0.00004 
1.21051 0.75000 0.00002 
1.21062 0.75000 0.00001 
1.21068 0.75000 0.00000 
1.21070 0.75000 0.00000 

ZONE T="SLICE_Y_1p4_BINS01_KS_1mm_SINGLE_LAYER"
1.39331 1.40000 0.00000 
1.39329 1.40000 -0.00000 
1.39324 1.40000 -0.00001 
1.39316 1.40000 -0.00002 
1.39305 1.40000 -0.00003 
